Category: Apparel

Month,Geo: United States
2004-01,80
2004-02,80
2004-03,79
2004-04,79
2004-05,76
2004-06,73
2004-07,76
2004-08,79
2004-09,78
2004-10,93
2004-11,81
2004-12,100
2005-01,80
2005-02,81
2005-03,78
2005-04,75
2005-05,73
2005-06,69
2005-07,74
2005-08,82
2005-09,77
2005-10,92
2005-11,82
2005-12,97
2006-01,74
2006-02,76
2006-03,74
2006-04,76
2006-05,72
2006-06,68
2006-07,74
2006-08,78
2006-09,79
2006-10,88
2006-11,78
2006-12,92
2007-01,70
2007-02,71
2007-03,70
2007-04,71
2007-05,66
2007-06,62
2007-07,66
2007-08,69
2007-09,70
2007-10,79
2007-11,73
2007-12,84
2008-01,64
2008-02,65
2008-03,62
2008-04,62
2008-05,60
2008-06,58
2008-07,59
2008-08,62
2008-09,61
2008-10,73
2008-11,62
2008-12,70
2009-01,54
2009-02,53
2009-03,52
2009-04,53
2009-05,50
2009-06,45
2009-07,48
2009-08,51
2009-09,51
2009-10,59
2009-11,52
2009-12,60
2010-01,48
2010-02,49
2010-03,47
2010-04,48
2010-05,45
2010-06,45
2010-07,47
2010-08,50
2010-09,51
2010-10,59
2010-11,54
2010-12,62
2011-01,63
2011-02,64
2011-03,62
2011-04,64
2011-05,61
2011-06,59
2011-07,61
2011-08,64
2011-09,67
2011-10,75
2011-11,73
2011-12,84
2012-01,67
2012-02,67
2012-03,66
2012-04,68
2012-05,65
2012-06,64
2012-07,66
2012-08,69
2012-09,71
2012-10,78
2012-11,73
2012-12,82
2013-01,66
2013-02,65
2013-03,67
2013-04,66
2013-05,64
2013-06,63
2013-07,62
2013-08,64
2013-09,65
2013-10,71
2013-11,70
2013-12,80
2014-01,62
2014-02,63
2014-03,61
2014-04,63
2014-05,57
2014-06,55
2014-07,56
2014-08,58
2014-09,60
2014-10,66
2014-11,64
2014-12,69
2015-01,55
2015-02,58
2015-03,55
2015-04,52
2015-05,49
2015-06,48
2015-07,49
2015-08,51
2015-09,51
2015-10,59
2015-11,57
2015-12,65
2016-01,66
2016-02,69
2016-03,68
2016-04,69
2016-05,67
2016-06,64
2016-07,67
2016-08,68
2016-09,72
2016-10,83
2016-11,80
2016-12,91
2017-01,69
2017-02,70
2017-03,69
2017-04,71
2017-05,71
2017-06,67
2017-07,68
2017-08,72
2017-09,72
2017-10,82
2017-11,83
2017-12,90
2018-01,69
2018-02,70
2018-03,69
2018-04,69
2018-05,70
2018-06,68
2018-07,65
2018-08,68
2018-09,68
2018-10,75
2018-11,82
2018-12,87
2019-01,70
2019-02,70
