Category: Automotive Industry

Month,Geo: United States
2004-01,75
2004-02,83
2004-03,71
2004-04,76
2004-05,68
2004-06,66
2004-07,57
2004-08,58
2004-09,56
2004-10,61
2004-11,56
2004-12,54
2005-01,56
2005-02,63
2005-03,66
2005-04,66
2005-05,66
2005-06,62
2005-07,56
2005-08,61
2005-09,57
2005-10,68
2005-11,64
2005-12,59
2006-01,75
2006-02,65
2006-03,61
2006-04,59
2006-05,55
2006-06,48
2006-07,47
2006-08,49
2006-09,57
2006-10,48
2006-11,45
2006-12,45
2007-01,47
2007-02,56
2007-03,47
2007-04,49
2007-05,46
2007-06,42
2007-07,38
2007-08,37
2007-09,58
2007-10,47
2007-11,40
2007-12,32
2008-01,43
2008-02,44
2008-03,42
2008-04,49
2008-05,40
2008-06,39
2008-07,45
2008-08,37
2008-09,39
2008-10,70
2008-11,100
2008-12,94
2009-01,46
2009-02,54
2009-03,58
2009-04,67
2009-05,67
2009-06,62
2009-07,43
2009-08,35
2009-09,33
2009-10,33
2009-11,30
2009-12,28
2010-01,28
2010-02,30
2010-03,30
2010-04,32
2010-05,26
2010-06,25
2010-07,26
2010-08,29
2010-09,26
2010-10,26
2010-11,32
2010-12,25
2011-01,28
2011-02,30
2011-03,30
2011-04,31
2011-05,27
2011-06,27
2011-07,24
2011-08,26
2011-09,29
2011-10,29
2011-11,25
2011-12,24
2012-01,26
2012-02,31
2012-03,25
2012-04,27
2012-05,37
2012-06,26
2012-07,26
2012-08,31
2012-09,31
2012-10,33
2012-11,30
2012-12,24
2013-01,27
2013-02,24
2013-03,23
2013-04,25
2013-05,23
2013-06,22
2013-07,31
2013-08,24
2013-09,23
2013-10,22
2013-11,21
2013-12,24
2014-01,24
2014-02,24
2014-03,23
2014-04,25
2014-05,23
2014-06,22
2014-07,22
2014-08,20
2014-09,22
2014-10,22
2014-11,21
2014-12,18
2015-01,20
2015-02,21
2015-03,19
2015-04,21
2015-05,19
2015-06,19
2015-07,18
2015-08,19
2015-09,21
2015-10,22
2015-11,20
2015-12,17
2016-01,24
2016-02,25
2016-03,25
2016-04,26
2016-05,22
2016-06,23
2016-07,23
2016-08,23
2016-09,24
2016-10,22
2016-11,24
2016-12,22
2017-01,29
2017-02,27
2017-03,25
2017-04,25
2017-05,26
2017-06,28
2017-07,25
2017-08,26
2017-09,23
2017-10,25
2017-11,23
2017-12,21
2018-01,25
2018-02,24
2018-03,24
2018-04,25
2018-05,24
2018-06,24
2018-07,24
2018-08,23
2018-09,22
2018-10,25
2018-11,43
2018-12,25
2019-01,26
2019-02,31
