Category: Beauty & Fitness

Month,Geo: United States
2004-01,100
2004-02,98
2004-03,96
2004-04,99
2004-05,93
2004-06,94
2004-07,94
2004-08,90
2004-09,85
2004-10,86
2004-11,83
2004-12,93
2005-01,93
2005-02,91
2005-03,91
2005-04,91
2005-05,90
2005-06,88
2005-07,91
2005-08,91
2005-09,82
2005-10,84
2005-11,82
2005-12,87
2006-01,91
2006-02,88
2006-03,87
2006-04,87
2006-05,84
2006-06,84
2006-07,86
2006-08,85
2006-09,78
2006-10,76
2006-11,74
2006-12,86
2007-01,83
2007-02,82
2007-03,79
2007-04,82
2007-05,79
2007-06,77
2007-07,81
2007-08,81
2007-09,72
2007-10,73
2007-11,72
2007-12,79
2008-01,80
2008-02,77
2008-03,74
2008-04,76
2008-05,72
2008-06,73
2008-07,75
2008-08,73
2008-09,66
2008-10,66
2008-11,64
2008-12,67
2009-01,71
2009-02,66
2009-03,67
2009-04,69
2009-05,66
2009-06,64
2009-07,64
2009-08,64
2009-09,59
2009-10,59
2009-11,57
2009-12,60
2010-01,62
2010-02,63
2010-03,62
2010-04,63
2010-05,62
2010-06,60
2010-07,66
2010-08,65
2010-09,61
2010-10,60
2010-11,61
2010-12,63
2011-01,80
2011-02,79
2011-03,77
2011-04,80
2011-05,79
2011-06,80
2011-07,80
2011-08,79
2011-09,76
2011-10,74
2011-11,75
2011-12,81
2012-01,88
2012-02,86
2012-03,85
2012-04,85
2012-05,85
2012-06,87
2012-07,87
2012-08,86
2012-09,81
2012-10,76
2012-11,76
2012-12,83
2013-01,88
2013-02,86
2013-03,85
2013-04,84
2013-05,83
2013-06,83
2013-07,85
2013-08,83
2013-09,77
2013-10,73
2013-11,74
2013-12,76
2014-01,77
2014-02,80
2014-03,81
2014-04,78
2014-05,74
2014-06,75
2014-07,75
2014-08,74
2014-09,68
2014-10,67
2014-11,65
2014-12,69
2015-01,72
2015-02,72
2015-03,68
2015-04,66
2015-05,63
2015-06,65
2015-07,66
2015-08,63
2015-09,62
2015-10,61
2015-11,60
2015-12,67
2016-01,85
2016-02,89
2016-03,88
2016-04,88
2016-05,89
2016-06,87
2016-07,91
2016-08,89
2016-09,84
2016-10,84
2016-11,80
2016-12,90
2017-01,92
2017-02,91
2017-03,92
2017-04,92
2017-05,92
2017-06,93
2017-07,95
2017-08,90
2017-09,86
2017-10,86
2017-11,86
2017-12,90
2018-01,92
2018-02,92
2018-03,91
2018-04,91
2018-05,89
2018-06,89
2018-07,88
2018-08,85
2018-09,80
2018-10,78
2018-11,80
2018-12,89
2019-01,91
2019-02,92
