Category: Book Retailers

Month,Geo: United States
2004-01,100
2004-02,86
2004-03,75
2004-04,78
2004-05,76
2004-06,80
2004-07,80
2004-08,93
2004-09,81
2004-10,69
2004-11,70
2004-12,98
2005-01,90
2005-02,72
2005-03,66
2005-04,63
2005-05,68
2005-06,71
2005-07,79
2005-08,82
2005-09,72
2005-10,64
2005-11,66
2005-12,88
2006-01,78
2006-02,62
2006-03,57
2006-04,56
2006-05,58
2006-06,60
2006-07,62
2006-08,74
2006-09,65
2006-10,55
2006-11,56
2006-12,82
2007-01,68
2007-02,55
2007-03,50
2007-04,52
2007-05,51
2007-06,55
2007-07,62
2007-08,66
2007-09,57
2007-10,49
2007-11,51
2007-12,73
2008-01,62
2008-02,50
2008-03,46
2008-04,46
2008-05,47
2008-06,45
2008-07,48
2008-08,55
2008-09,47
2008-10,40
2008-11,43
2008-12,57
2009-01,50
2009-02,39
2009-03,38
2009-04,38
2009-05,36
2009-06,36
2009-07,38
2009-08,44
2009-09,37
2009-10,31
2009-11,34
2009-12,45
2010-01,37
2010-02,32
2010-03,30
2010-04,29
2010-05,30
2010-06,31
2010-07,35
2010-08,41
2010-09,35
2010-10,30
2010-11,33
2010-12,46
2011-01,44
2011-02,36
2011-03,33
2011-04,33
2011-05,33
2011-06,33
2011-07,35
2011-08,41
2011-09,32
2011-10,28
2011-11,31
2011-12,42
2012-01,36
2012-02,28
2012-03,28
2012-04,27
2012-05,29
2012-06,28
2012-07,28
2012-08,34
2012-09,29
2012-10,23
2012-11,26
2012-12,34
2013-01,32
2013-02,24
2013-03,24
2013-04,22
2013-05,23
2013-06,23
2013-07,24
2013-08,30
2013-09,25
2013-10,22
2013-11,22
2013-12,30
2014-01,27
2014-02,22
2014-03,22
2014-04,21
2014-05,22
2014-06,24
2014-07,24
2014-08,27
2014-09,23
2014-10,22
2014-11,20
2014-12,26
2015-01,24
2015-02,19
2015-03,19
2015-04,17
2015-05,17
2015-06,18
2015-07,18
2015-08,22
2015-09,18
2015-10,16
2015-11,18
2015-12,23
2016-01,24
2016-02,21
2016-03,20
2016-04,20
2016-05,20
2016-06,21
2016-07,23
2016-08,28
2016-09,23
2016-10,20
2016-11,20
2016-12,28
2017-01,25
2017-02,20
2017-03,20
2017-04,20
2017-05,21
2017-06,21
2017-07,22
2017-08,26
2017-09,22
2017-10,20
2017-11,20
2017-12,25
2018-01,23
2018-02,20
2018-03,19
2018-04,18
2018-05,19
2018-06,20
2018-07,20
2018-08,23
2018-09,20
2018-10,17
2018-11,19
2018-12,27
2019-01,23
2019-02,19
