Category: Chemicals Industry

Month,Geo: United States
2004-01,92
2004-02,96
2004-03,94
2004-04,100
2004-05,90
2004-06,89
2004-07,86
2004-08,88
2004-09,88
2004-10,89
2004-11,81
2004-12,79
2005-01,82
2005-02,86
2005-03,84
2005-04,85
2005-05,82
2005-06,78
2005-07,78
2005-08,80
2005-09,83
2005-10,83
2005-11,75
2005-12,68
2006-01,76
2006-02,79
2006-03,74
2006-04,76
2006-05,71
2006-06,69
2006-07,67
2006-08,70
2006-09,72
2006-10,71
2006-11,63
2006-12,56
2007-01,62
2007-02,68
2007-03,63
2007-04,64
2007-05,62
2007-06,59
2007-07,62
2007-08,60
2007-09,61
2007-10,65
2007-11,57
2007-12,50
2008-01,57
2008-02,60
2008-03,55
2008-04,60
2008-05,57
2008-06,54
2008-07,54
2008-08,51
2008-09,55
2008-10,56
2008-11,49
2008-12,46
2009-01,48
2009-02,51
2009-03,51
2009-04,53
2009-05,48
2009-06,46
2009-07,43
2009-08,44
2009-09,48
2009-10,48
2009-11,43
2009-12,39
2010-01,40
2010-02,45
2010-03,45
2010-04,46
2010-05,42
2010-06,42
2010-07,41
2010-08,41
2010-09,45
2010-10,43
2010-11,40
2010-12,36
2011-01,43
2011-02,47
2011-03,48
2011-04,50
2011-05,47
2011-06,46
2011-07,44
2011-08,44
2011-09,49
2011-10,48
2011-11,45
2011-12,42
2012-01,46
2012-02,50
2012-03,46
2012-04,48
2012-05,45
2012-06,45
2012-07,42
2012-08,44
2012-09,50
2012-10,49
2012-11,46
2012-12,42
2013-01,44
2013-02,48
2013-03,46
2013-04,49
2013-05,47
2013-06,44
2013-07,44
2013-08,46
2013-09,47
2013-10,48
2013-11,44
2013-12,41
2014-01,42
2014-02,46
2014-03,44
2014-04,49
2014-05,43
2014-06,43
2014-07,42
2014-08,42
2014-09,45
2014-10,44
2014-11,41
2014-12,38
2015-01,39
2015-02,43
2015-03,41
2015-04,43
2015-05,39
2015-06,38
2015-07,37
2015-08,38
2015-09,41
2015-10,41
2015-11,38
2015-12,37
2016-01,48
2016-02,52
2016-03,52
2016-04,55
2016-05,50
2016-06,47
2016-07,46
2016-08,50
2016-09,54
2016-10,53
2016-11,49
2016-12,47
2017-01,49
2017-02,54
2017-03,57
2017-04,56
2017-05,56
2017-06,52
2017-07,51
2017-08,50
2017-09,53
2017-10,55
2017-11,53
2017-12,49
2018-01,50
2018-02,55
2018-03,51
2018-04,53
2018-05,55
2018-06,51
2018-07,49
2018-08,50
2018-09,51
2018-10,53
2018-11,49
2018-12,46
2019-01,50
2019-02,58
