Category: Children's Clothing

Month,Geo: United States
2004-01,58
2004-02,59
2004-03,62
2004-04,54
2004-05,47
2004-06,48
2004-07,57
2004-08,57
2004-09,62
2004-10,72
2004-11,61
2004-12,65
2005-01,62
2005-02,62
2005-03,63
2005-04,52
2005-05,48
2005-06,48
2005-07,55
2005-08,67
2005-09,64
2005-10,77
2005-11,68
2005-12,68
2006-01,59
2006-02,65
2006-03,63
2006-04,57
2006-05,51
2006-06,53
2006-07,60
2006-08,68
2006-09,72
2006-10,74
2006-11,69
2006-12,62
2007-01,62
2007-02,61
2007-03,63
2007-04,56
2007-05,47
2007-06,45
2007-07,53
2007-08,61
2007-09,67
2007-10,72
2007-11,68
2007-12,64
2008-01,60
2008-02,60
2008-03,57
2008-04,52
2008-05,47
2008-06,47
2008-07,50
2008-08,57
2008-09,61
2008-10,68
2008-11,60
2008-12,57
2009-01,51
2009-02,50
2009-03,51
2009-04,48
2009-05,52
2009-06,38
2009-07,44
2009-08,50
2009-09,51
2009-10,59
2009-11,51
2009-12,50
2010-01,44
2010-02,46
2010-03,45
2010-04,40
2010-05,36
2010-06,35
2010-07,41
2010-08,46
2010-09,49
2010-10,54
2010-11,51
2010-12,51
2011-01,54
2011-02,54
2011-03,59
2011-04,56
2011-05,47
2011-06,45
2011-07,52
2011-08,59
2011-09,66
2011-10,70
2011-11,66
2011-12,65
2012-01,56
2012-02,54
2012-03,59
2012-04,53
2012-05,47
2012-06,48
2012-07,52
2012-08,58
2012-09,63
2012-10,65
2012-11,65
2012-12,63
2013-01,53
2013-02,55
2013-03,59
2013-04,50
2013-05,47
2013-06,46
2013-07,51
2013-08,66
2013-09,60
2013-10,67
2013-11,63
2013-12,65
2014-01,49
2014-02,51
2014-03,54
2014-04,53
2014-05,44
2014-06,42
2014-07,45
2014-08,49
2014-09,56
2014-10,61
2014-11,59
2014-12,53
2015-01,44
2015-02,47
2015-03,49
2015-04,42
2015-05,41
2015-06,37
2015-07,40
2015-08,43
2015-09,48
2015-10,57
2015-11,53
2015-12,50
2016-01,62
2016-02,67
2016-03,70
2016-04,64
2016-05,61
2016-06,60
2016-07,64
2016-08,72
2016-09,78
2016-10,87
2016-11,90
2016-12,84
2017-01,65
2017-02,64
2017-03,72
2017-04,72
2017-05,66
2017-06,65
2017-07,69
2017-08,75
2017-09,80
2017-10,97
2017-11,97
2017-12,93
2018-01,68
2018-02,70
2018-03,79
2018-04,67
2018-05,66
2018-06,63
2018-07,70
2018-08,76
2018-09,82
2018-10,91
2018-11,100
2018-12,93
2019-01,72
2019-02,72
