Category: Computers & Electronics

Month,Geo: United States
2004-01,100
2004-02,96
2004-03,90
2004-04,88
2004-05,87
2004-06,89
2004-07,90
2004-08,95
2004-09,87
2004-10,86
2004-11,84
2004-12,91
2005-01,86
2005-02,84
2005-03,80
2005-04,72
2005-05,74
2005-06,73
2005-07,74
2005-08,79
2005-09,74
2005-10,72
2005-11,73
2005-12,79
2006-01,71
2006-02,70
2006-03,63
2006-04,65
2006-05,61
2006-06,64
2006-07,63
2006-08,66
2006-09,63
2006-10,60
2006-11,63
2006-12,68
2007-01,61
2007-02,61
2007-03,57
2007-04,58
2007-05,53
2007-06,53
2007-07,55
2007-08,56
2007-09,55
2007-10,53
2007-11,54
2007-12,57
2008-01,56
2008-02,52
2008-03,49
2008-04,49
2008-05,50
2008-06,48
2008-07,48
2008-08,49
2008-09,47
2008-10,45
2008-11,45
2008-12,49
2009-01,47
2009-02,43
2009-03,41
2009-04,42
2009-05,39
2009-06,40
2009-07,39
2009-08,41
2009-09,39
2009-10,37
2009-11,40
2009-12,40
2010-01,37
2010-02,37
2010-03,36
2010-04,36
2010-05,34
2010-06,34
2010-07,36
2010-08,37
2010-09,36
2010-10,34
2010-11,35
2010-12,37
2011-01,38
2011-02,39
2011-03,39
2011-04,38
2011-05,37
2011-06,37
2011-07,37
2011-08,38
2011-09,35
2011-10,38
2011-11,37
2011-12,39
2012-01,37
2012-02,35
2012-03,34
2012-04,33
2012-05,32
2012-06,33
2012-07,32
2012-08,34
2012-09,34
2012-10,32
2012-11,34
2012-12,34
2013-01,32
2013-02,32
2013-03,31
2013-04,30
2013-05,29
2013-06,29
2013-07,29
2013-08,30
2013-09,30
2013-10,29
2013-11,31
2013-12,31
2014-01,29
2014-02,29
2014-03,29
2014-04,30
2014-05,27
2014-06,26
2014-07,26
2014-08,28
2014-09,29
2014-10,28
2014-11,28
2014-12,28
2015-01,25
2015-02,26
2015-03,25
2015-04,25
2015-05,22
2015-06,23
2015-07,22
2015-08,23
2015-09,24
2015-10,24
2015-11,23
2015-12,24
2016-01,27
2016-02,27
2016-03,27
2016-04,27
2016-05,26
2016-06,26
2016-07,26
2016-08,26
2016-09,28
2016-10,28
2016-11,28
2016-12,29
2017-01,28
2017-02,28
2017-03,29
2017-04,28
2017-05,27
2017-06,27
2017-07,25
2017-08,28
2017-09,28
2017-10,29
2017-11,29
2017-12,28
2018-01,28
2018-02,27
2018-03,26
2018-04,27
2018-05,26
2018-06,25
2018-07,23
2018-08,25
2018-09,26
2018-10,25
2018-11,27
2018-12,26
2019-01,27
2019-02,30
