Category: Computer & Video Games

Month,Geo: United States
2004-01,97
2004-02,89
2004-03,87
2004-04,83
2004-05,82
2004-06,82
2004-07,86
2004-08,88
2004-09,79
2004-10,85
2004-11,94
2004-12,100
2005-01,81
2005-02,74
2005-03,76
2005-04,72
2005-05,76
2005-06,74
2005-07,81
2005-08,78
2005-09,67
2005-10,75
2005-11,83
2005-12,90
2006-01,73
2006-02,69
2006-03,69
2006-04,68
2006-05,69
2006-06,74
2006-07,75
2006-08,73
2006-09,65
2006-10,70
2006-11,87
2006-12,92
2007-01,73
2007-02,69
2007-03,67
2007-04,70
2007-05,69
2007-06,70
2007-07,75
2007-08,73
2007-09,70
2007-10,72
2007-11,79
2007-12,91
2008-01,73
2008-02,70
2008-03,69
2008-04,66
2008-05,68
2008-06,68
2008-07,68
2008-08,66
2008-09,59
2008-10,63
2008-11,72
2008-12,77
2009-01,66
2009-02,62
2009-03,59
2009-04,59
2009-05,58
2009-06,59
2009-07,57
2009-08,58
2009-09,51
2009-10,51
2009-11,58
2009-12,63
2010-01,53
2010-02,51
2010-03,49
2010-04,47
2010-05,48
2010-06,51
2010-07,53
2010-08,51
2010-09,48
2010-10,46
2010-11,49
2010-12,55
2011-01,55
2011-02,51
2011-03,50
2011-04,56
2011-05,54
2011-06,55
2011-07,53
2011-08,51
2011-09,48
2011-10,48
2011-11,52
2011-12,54
2012-01,47
2012-02,46
2012-03,46
2012-04,46
2012-05,44
2012-06,49
2012-07,48
2012-08,46
2012-09,44
2012-10,43
2012-11,47
2012-12,49
2013-01,44
2013-02,44
2013-03,45
2013-04,40
2013-05,42
2013-06,46
2013-07,46
2013-08,44
2013-09,44
2013-10,43
2013-11,45
2013-12,46
2014-01,40
2014-02,38
2014-03,39
2014-04,37
2014-05,35
2014-06,40
2014-07,38
2014-08,36
2014-09,34
2014-10,33
2014-11,37
2014-12,40
2015-01,34
2015-02,33
2015-03,31
2015-04,31
2015-05,29
2015-06,32
2015-07,30
2015-08,30
2015-09,29
2015-10,29
2015-11,33
2015-12,34
2016-01,39
2016-02,36
2016-03,36
2016-04,36
2016-05,36
2016-06,36
2016-07,37
2016-08,35
2016-09,34
2016-10,34
2016-11,36
2016-12,41
2017-01,36
2017-02,35
2017-03,37
2017-04,33
2017-05,32
2017-06,33
2017-07,33
2017-08,33
2017-09,33
2017-10,33
2017-11,36
2017-12,38
2018-01,35
2018-02,32
2018-03,33
2018-04,31
2018-05,31
2018-06,33
2018-07,31
2018-08,31
2018-09,30
2018-10,30
2018-11,33
2018-12,36
2019-01,33
2019-02,34
