Category: Drugs & Medications

Month,Geo: United States
2004-01,98
2004-02,100
2004-03,96
2004-04,98
2004-05,92
2004-06,90
2004-07,93
2004-08,97
2004-09,92
2004-10,93
2004-11,91
2004-12,95
2005-01,96
2005-02,98
2005-03,92
2005-04,93
2005-05,88
2005-06,84
2005-07,85
2005-08,89
2005-09,84
2005-10,85
2005-11,83
2005-12,80
2006-01,84
2006-02,86
2006-03,86
2006-04,83
2006-05,81
2006-06,80
2006-07,80
2006-08,83
2006-09,81
2006-10,80
2006-11,77
2006-12,77
2007-01,81
2007-02,80
2007-03,77
2007-04,78
2007-05,73
2007-06,68
2007-07,72
2007-08,71
2007-09,68
2007-10,72
2007-11,66
2007-12,65
2008-01,70
2008-02,69
2008-03,67
2008-04,67
2008-05,61
2008-06,58
2008-07,62
2008-08,60
2008-09,59
2008-10,60
2008-11,57
2008-12,55
2009-01,56
2009-02,57
2009-03,56
2009-04,56
2009-05,52
2009-06,53
2009-07,54
2009-08,52
2009-09,50
2009-10,51
2009-11,49
2009-12,48
2010-01,48
2010-02,50
2010-03,50
2010-04,49
2010-05,45
2010-06,45
2010-07,52
2010-08,53
2010-09,52
2010-10,51
2010-11,50
2010-12,50
2011-01,62
2011-02,62
2011-03,63
2011-04,64
2011-05,60
2011-06,60
2011-07,61
2011-08,61
2011-09,60
2011-10,60
2011-11,61
2011-12,61
2012-01,64
2012-02,65
2012-03,61
2012-04,61
2012-05,60
2012-06,58
2012-07,61
2012-08,61
2012-09,61
2012-10,61
2012-11,60
2012-12,59
2013-01,64
2013-02,63
2013-03,60
2013-04,59
2013-05,58
2013-06,56
2013-07,58
2013-08,58
2013-09,56
2013-10,56
2013-11,55
2013-12,54
2014-01,55
2014-02,54
2014-03,54
2014-04,56
2014-05,52
2014-06,49
2014-07,51
2014-08,51
2014-09,52
2014-10,52
2014-11,48
2014-12,50
2015-01,50
2015-02,51
2015-03,47
2015-04,49
2015-05,44
2015-06,45
2015-07,46
2015-08,45
2015-09,46
2015-10,47
2015-11,44
2015-12,46
2016-01,53
2016-02,57
2016-03,57
2016-04,57
2016-05,53
2016-06,54
2016-07,55
2016-08,55
2016-09,58
2016-10,54
2016-11,54
2016-12,57
2017-01,58
2017-02,58
2017-03,61
2017-04,57
2017-05,57
2017-06,58
2017-07,56
2017-08,60
2017-09,58
2017-10,60
2017-11,58
2017-12,59
2018-01,61
2018-02,62
2018-03,59
2018-04,60
2018-05,58
2018-06,57
2018-07,55
2018-08,56
2018-09,55
2018-10,56
2018-11,55
2018-12,56
2019-01,59
2019-02,63
