Category: Electricity

Month,Geo: United States
2004-01,89
2004-02,97
2004-03,87
2004-04,96
2004-05,84
2004-06,83
2004-07,82
2004-08,84
2004-09,87
2004-10,75
2004-11,73
2004-12,79
2005-01,78
2005-02,83
2005-03,78
2005-04,79
2005-05,78
2005-06,75
2005-07,79
2005-08,79
2005-09,82
2005-10,82
2005-11,75
2005-12,68
2006-01,82
2006-02,79
2006-03,77
2006-04,81
2006-05,77
2006-06,77
2006-07,89
2006-08,83
2006-09,71
2006-10,71
2006-11,65
2006-12,71
2007-01,79
2007-02,78
2007-03,72
2007-04,77
2007-05,73
2007-06,67
2007-07,70
2007-08,71
2007-09,66
2007-10,67
2007-11,62
2007-12,64
2008-01,72
2008-02,71
2008-03,65
2008-04,69
2008-05,68
2008-06,68
2008-07,69
2008-08,69
2008-09,74
2008-10,67
2008-11,55
2008-12,61
2009-01,63
2009-02,65
2009-03,62
2009-04,64
2009-05,58
2009-06,54
2009-07,55
2009-08,58
2009-09,55
2009-10,57
2009-11,51
2009-12,51
2010-01,56
2010-02,61
2010-03,57
2010-04,56
2010-05,53
2010-06,53
2010-07,57
2010-08,61
2010-09,58
2010-10,56
2010-11,53
2010-12,53
2011-01,61
2011-02,82
2011-03,65
2011-04,66
2011-05,63
2011-06,63
2011-07,66
2011-08,87
2011-09,78
2011-10,67
2011-11,68
2011-12,56
2012-01,58
2012-02,57
2012-03,58
2012-04,57
2012-05,57
2012-06,65
2012-07,80
2012-08,64
2012-09,59
2012-10,82
2012-11,68
2012-12,54
2013-01,58
2013-02,64
2013-03,54
2013-04,55
2013-05,55
2013-06,59
2013-07,60
2013-08,56
2013-09,55
2013-10,55
2013-11,53
2013-12,55
2014-01,57
2014-02,66
2014-03,56
2014-04,55
2014-05,53
2014-06,54
2014-07,59
2014-08,55
2014-09,54
2014-10,54
2014-11,50
2014-12,50
2015-01,51
2015-02,53
2015-03,48
2015-04,51
2015-05,45
2015-06,54
2015-07,53
2015-08,51
2015-09,49
2015-10,49
2015-11,48
2015-12,47
2016-01,59
2016-02,63
2016-03,59
2016-04,60
2016-05,57
2016-06,64
2016-07,74
2016-08,68
2016-09,64
2016-10,72
2016-11,58
2016-12,61
2017-01,70
2017-02,65
2017-03,79
2017-04,69
2017-05,66
2017-06,71
2017-07,75
2017-08,71
2017-09,100
2017-10,71
2017-11,61
2017-12,63
2018-01,66
2018-02,62
2018-03,85
2018-04,64
2018-05,69
2018-06,67
2018-07,74
2018-08,70
2018-09,68
2018-10,72
2018-11,66
2018-12,64
2019-01,76
2019-02,81
