Category: Energy & Utilities

Month,Geo: United States
2004-01,89
2004-02,94
2004-03,92
2004-04,99
2004-05,93
2004-06,89
2004-07,85
2004-08,88
2004-09,87
2004-10,86
2004-11,80
2004-12,79
2005-01,84
2005-02,85
2005-03,97
2005-04,89
2005-05,87
2005-06,83
2005-07,85
2005-08,96
2005-09,100
2005-10,92
2005-11,84
2005-12,78
2006-01,85
2006-02,86
2006-03,84
2006-04,93
2006-05,90
2006-06,83
2006-07,88
2006-08,88
2006-09,82
2006-10,79
2006-11,72
2006-12,71
2007-01,78
2007-02,76
2007-03,76
2007-04,82
2007-05,81
2007-06,74
2007-07,79
2007-08,76
2007-09,70
2007-10,77
2007-11,74
2007-12,70
2008-01,75
2008-02,75
2008-03,74
2008-04,86
2008-05,83
2008-06,82
2008-07,84
2008-08,76
2008-09,78
2008-10,75
2008-11,65
2008-12,61
2009-01,62
2009-02,63
2009-03,65
2009-04,65
2009-05,59
2009-06,56
2009-07,56
2009-08,57
2009-09,56
2009-10,56
2009-11,52
2009-12,50
2010-01,51
2010-02,55
2010-03,54
2010-04,58
2010-05,58
2010-06,60
2010-07,57
2010-08,54
2010-09,53
2010-10,52
2010-11,50
2010-12,48
2011-01,59
2011-02,62
2011-03,69
2011-04,67
2011-05,61
2011-06,61
2011-07,61
2011-08,64
2011-09,60
2011-10,59
2011-11,58
2011-12,54
2012-01,58
2012-02,58
2012-03,59
2012-04,60
2012-05,58
2012-06,57
2012-07,62
2012-08,58
2012-09,56
2012-10,61
2012-11,59
2012-12,51
2013-01,55
2013-02,57
2013-03,53
2013-04,60
2013-05,58
2013-06,54
2013-07,55
2013-08,56
2013-09,53
2013-10,53
2013-11,51
2013-12,50
2014-01,54
2014-02,53
2014-03,53
2014-04,54
2014-05,53
2014-06,51
2014-07,52
2014-08,51
2014-09,52
2014-10,51
2014-11,47
2014-12,47
2015-01,49
2015-02,49
2015-03,49
2015-04,50
2015-05,48
2015-06,48
2015-07,48
2015-08,47
2015-09,46
2015-10,47
2015-11,44
2015-12,44
2016-01,56
2016-02,59
2016-03,58
2016-04,60
2016-05,59
2016-06,59
2016-07,60
2016-08,58
2016-09,61
2016-10,59
2016-11,57
2016-12,59
2017-01,63
2017-02,65
2017-03,63
2017-04,62
2017-05,63
2017-06,65
2017-07,63
2017-08,63
2017-09,77
2017-10,63
2017-11,57
2017-12,58
2018-01,62
2018-02,60
2018-03,63
2018-04,62
2018-05,65
2018-06,62
2018-07,64
2018-08,62
2018-09,60
2018-10,62
2018-11,59
2018-12,60
2019-01,62
2019-02,73
