Category: Entertainment Industry

Month,Geo: United States
2004-01,95
2004-02,100
2004-03,79
2004-04,68
2004-05,66
2004-06,61
2004-07,72
2004-08,66
2004-09,64
2004-10,58
2004-11,58
2004-12,62
2005-01,83
2005-02,100
2005-03,64
2005-04,56
2005-05,57
2005-06,54
2005-07,62
2005-08,59
2005-09,62
2005-10,54
2005-11,55
2005-12,57
2006-01,77
2006-02,78
2006-03,75
2006-04,56
2006-05,51
2006-06,51
2006-07,56
2006-08,59
2006-09,51
2006-10,48
2006-11,45
2006-12,48
2007-01,71
2007-02,86
2007-03,46
2007-04,46
2007-05,43
2007-06,44
2007-07,45
2007-08,44
2007-09,57
2007-10,41
2007-11,45
2007-12,45
2008-01,54
2008-02,68
2008-03,40
2008-04,39
2008-05,39
2008-06,39
2008-07,39
2008-08,37
2008-09,42
2008-10,35
2008-11,34
2008-12,37
2009-01,50
2009-02,63
2009-03,37
2009-04,34
2009-05,31
2009-06,32
2009-07,32
2009-08,33
2009-09,40
2009-10,30
2009-11,31
2009-12,33
2010-01,41
2010-02,48
2010-03,48
2010-04,30
2010-05,30
2010-06,30
2010-07,33
2010-08,35
2010-09,34
2010-10,29
2010-11,30
2010-12,31
2011-01,54
2011-02,77
2011-03,42
2011-04,37
2011-05,34
2011-06,36
2011-07,38
2011-08,41
2011-09,38
2011-10,34
2011-11,36
2011-12,36
2012-01,49
2012-02,72
2012-03,37
2012-04,36
2012-05,34
2012-06,35
2012-07,38
2012-08,35
2012-09,39
2012-10,32
2012-11,33
2012-12,35
2013-01,52
2013-02,77
2013-03,37
2013-04,34
2013-05,35
2013-06,34
2013-07,38
2013-08,42
2013-09,37
2013-10,32
2013-11,35
2013-12,37
2014-01,63
2014-02,39
2014-03,55
2014-04,31
2014-05,31
2014-06,31
2014-07,31
2014-08,39
2014-09,29
2014-10,30
2014-11,30
2014-12,30
2015-01,40
2015-02,62
2015-03,30
2015-04,28
2015-05,26
2015-06,25
2015-07,27
2015-08,28
2015-09,29
2015-10,26
2015-11,25
2015-12,27
2016-01,51
2016-02,75
2016-03,37
2016-04,34
2016-05,34
2016-06,33
2016-07,37
2016-08,37
2016-09,37
2016-10,32
2016-11,34
2016-12,35
2017-01,50
2017-02,76
2017-03,38
2017-04,34
2017-05,35
2017-06,35
2017-07,37
2017-08,36
2017-09,39
2017-10,43
2017-11,41
2017-12,37
2018-01,61
2018-02,38
2018-03,50
2018-04,35
2018-05,35
2018-06,35
2018-07,34
2018-08,36
2018-09,38
2018-10,33
2018-11,32
2018-12,37
2019-01,47
2019-02,38
