Category: Face & Body Care

Month,Geo: United States
2004-01,71
2004-02,72
2004-03,68
2004-04,70
2004-05,68
2004-06,68
2004-07,69
2004-08,67
2004-09,64
2004-10,65
2004-11,66
2004-12,77
2005-01,70
2005-02,66
2005-03,66
2005-04,64
2005-05,65
2005-06,63
2005-07,64
2005-08,65
2005-09,61
2005-10,63
2005-11,63
2005-12,74
2006-01,61
2006-02,61
2006-03,61
2006-04,63
2006-05,59
2006-06,62
2006-07,61
2006-08,62
2006-09,58
2006-10,59
2006-11,60
2006-12,69
2007-01,58
2007-02,60
2007-03,57
2007-04,60
2007-05,56
2007-06,57
2007-07,56
2007-08,58
2007-09,52
2007-10,56
2007-11,56
2007-12,63
2008-01,55
2008-02,54
2008-03,52
2008-04,54
2008-05,53
2008-06,52
2008-07,50
2008-08,52
2008-09,49
2008-10,49
2008-11,49
2008-12,55
2009-01,48
2009-02,47
2009-03,46
2009-04,48
2009-05,47
2009-06,45
2009-07,45
2009-08,46
2009-09,42
2009-10,44
2009-11,44
2009-12,49
2010-01,42
2010-02,44
2010-03,43
2010-04,43
2010-05,44
2010-06,43
2010-07,47
2010-08,47
2010-09,45
2010-10,45
2010-11,46
2010-12,50
2011-01,55
2011-02,57
2011-03,56
2011-04,58
2011-05,59
2011-06,58
2011-07,56
2011-08,59
2011-09,55
2011-10,56
2011-11,59
2011-12,67
2012-01,58
2012-02,62
2012-03,59
2012-04,64
2012-05,61
2012-06,67
2012-07,65
2012-08,63
2012-09,61
2012-10,58
2012-11,62
2012-12,69
2013-01,67
2013-02,63
2013-03,65
2013-04,65
2013-05,64
2013-06,62
2013-07,63
2013-08,62
2013-09,59
2013-10,61
2013-11,61
2013-12,69
2014-01,61
2014-02,61
2014-03,63
2014-04,63
2014-05,60
2014-06,60
2014-07,61
2014-08,58
2014-09,55
2014-10,60
2014-11,57
2014-12,64
2015-01,57
2015-02,58
2015-03,58
2015-04,57
2015-05,54
2015-06,55
2015-07,56
2015-08,54
2015-09,53
2015-10,57
2015-11,58
2015-12,66
2016-01,76
2016-02,75
2016-03,78
2016-04,81
2016-05,81
2016-06,77
2016-07,80
2016-08,79
2016-09,77
2016-10,82
2016-11,83
2016-12,98
2017-01,84
2017-02,86
2017-03,86
2017-04,86
2017-05,83
2017-06,85
2017-07,88
2017-08,83
2017-09,83
2017-10,85
2017-11,88
2017-12,100
2018-01,82
2018-02,85
2018-03,83
2018-04,87
2018-05,84
2018-06,83
2018-07,82
2018-08,80
2018-09,77
2018-10,78
2018-11,86
2018-12,96
2019-01,85
2019-02,88
