Category: Food & Drink

Month,Geo: United States
2004-01,70
2004-02,70
2004-03,65
2004-04,67
2004-05,66
2004-06,63
2004-07,65
2004-08,65
2004-09,62
2004-10,64
2004-11,72
2004-12,77
2005-01,67
2005-02,70
2005-03,70
2005-04,62
2005-05,63
2005-06,61
2005-07,64
2005-08,67
2005-09,61
2005-10,67
2005-11,72
2005-12,79
2006-01,67
2006-02,65
2006-03,62
2006-04,66
2006-05,63
2006-06,64
2006-07,67
2006-08,66
2006-09,66
2006-10,65
2006-11,70
2006-12,79
2007-01,65
2007-02,67
2007-03,60
2007-04,65
2007-05,61
2007-06,61
2007-07,66
2007-08,63
2007-09,58
2007-10,62
2007-11,66
2007-12,71
2008-01,62
2008-02,60
2008-03,58
2008-04,56
2008-05,57
2008-06,57
2008-07,59
2008-08,57
2008-09,53
2008-10,55
2008-11,61
2008-12,63
2009-01,55
2009-02,52
2009-03,52
2009-04,52
2009-05,49
2009-06,48
2009-07,49
2009-08,50
2009-09,48
2009-10,48
2009-11,52
2009-12,56
2010-01,50
2010-02,47
2010-03,47
2010-04,47
2010-05,45
2010-06,44
2010-07,53
2010-08,53
2010-09,51
2010-10,51
2010-11,56
2010-12,58
2011-01,68
2011-02,68
2011-03,66
2011-04,69
2011-05,65
2011-06,66
2011-07,71
2011-08,70
2011-09,67
2011-10,69
2011-11,77
2011-12,84
2012-01,74
2012-02,74
2012-03,69
2012-04,72
2012-05,71
2012-06,71
2012-07,76
2012-08,72
2012-09,71
2012-10,69
2012-11,75
2012-12,80
2013-01,70
2013-02,71
2013-03,72
2013-04,67
2013-05,69
2013-06,72
2013-07,73
2013-08,73
2013-09,66
2013-10,65
2013-11,75
2013-12,77
2014-01,69
2014-02,68
2014-03,67
2014-04,67
2014-05,63
2014-06,62
2014-07,65
2014-08,65
2014-09,61
2014-10,64
2014-11,67
2014-12,68
2015-01,62
2015-02,62
2015-03,58
2015-04,57
2015-05,55
2015-06,56
2015-07,59
2015-08,57
2015-09,55
2015-10,58
2015-11,63
2015-12,66
2016-01,78
2016-02,77
2016-03,80
2016-04,77
2016-05,80
2016-06,79
2016-07,86
2016-08,80
2016-09,81
2016-10,82
2016-11,86
2016-12,96
2017-01,85
2017-02,85
2017-03,84
2017-04,90
2017-05,86
2017-06,88
2017-07,94
2017-08,86
2017-09,86
2017-10,86
2017-11,88
2017-12,100
2018-01,89
2018-02,89
2018-03,88
2018-04,83
2018-05,85
2018-06,88
2018-07,93
2018-08,85
2018-09,82
2018-10,85
2018-11,92
2018-12,100
2019-01,90
2019-02,91
