Category: Footwear

Month,Geo: United States
2004-01,63
2004-02,60
2004-03,63
2004-04,63
2004-05,58
2004-06,55
2004-07,59
2004-08,65
2004-09,60
2004-10,64
2004-11,67
2004-12,75
2005-01,63
2005-02,62
2005-03,66
2005-04,65
2005-05,59
2005-06,57
2005-07,60
2005-08,69
2005-09,59
2005-10,66
2005-11,68
2005-12,79
2006-01,60
2006-02,60
2006-03,62
2006-04,63
2006-05,58
2006-06,58
2006-07,61
2006-08,67
2006-09,63
2006-10,65
2006-11,65
2006-12,77
2007-01,59
2007-02,58
2007-03,60
2007-04,62
2007-05,57
2007-06,52
2007-07,56
2007-08,61
2007-09,54
2007-10,58
2007-11,65
2007-12,78
2008-01,57
2008-02,55
2008-03,53
2008-04,54
2008-05,51
2008-06,48
2008-07,49
2008-08,53
2008-09,50
2008-10,53
2008-11,56
2008-12,67
2009-01,48
2009-02,43
2009-03,46
2009-04,47
2009-05,43
2009-06,38
2009-07,41
2009-08,44
2009-09,43
2009-10,48
2009-11,48
2009-12,58
2010-01,42
2010-02,42
2010-03,41
2010-04,43
2010-05,40
2010-06,38
2010-07,41
2010-08,48
2010-09,44
2010-10,48
2010-11,52
2010-12,64
2011-01,58
2011-02,57
2011-03,58
2011-04,58
2011-05,55
2011-06,52
2011-07,54
2011-08,59
2011-09,59
2011-10,62
2011-11,70
2011-12,81
2012-01,60
2012-02,66
2012-03,63
2012-04,64
2012-05,59
2012-06,60
2012-07,61
2012-08,66
2012-09,65
2012-10,64
2012-11,72
2012-12,83
2013-01,61
2013-02,61
2013-03,64
2013-04,62
2013-05,58
2013-06,55
2013-07,56
2013-08,63
2013-09,58
2013-10,61
2013-11,70
2013-12,83
2014-01,59
2014-02,62
2014-03,60
2014-04,60
2014-05,52
2014-06,49
2014-07,51
2014-08,56
2014-09,52
2014-10,54
2014-11,64
2014-12,69
2015-01,50
2015-02,52
2015-03,49
2015-04,48
2015-05,45
2015-06,43
2015-07,44
2015-08,50
2015-09,47
2015-10,53
2015-11,60
2015-12,66
2016-01,68
2016-02,71
2016-03,69
2016-04,67
2016-05,64
2016-06,62
2016-07,65
2016-08,69
2016-09,69
2016-10,73
2016-11,83
2016-12,100
2017-01,69
2017-02,70
2017-03,71
2017-04,72
2017-05,67
2017-06,66
2017-07,67
2017-08,73
2017-09,70
2017-10,73
2017-11,90
2017-12,97
2018-01,68
2018-02,68
2018-03,72
2018-04,70
2018-05,66
2018-06,63
2018-07,64
2018-08,69
2018-09,67
2018-10,66
2018-11,89
2018-12,95
2019-01,67
2019-02,67
