Category: Grocery & Food Retailers

Month,Geo: United States
2004-01,56
2004-02,55
2004-03,52
2004-04,57
2004-05,55
2004-06,53
2004-07,54
2004-08,58
2004-09,54
2004-10,55
2004-11,56
2004-12,58
2005-01,58
2005-02,57
2005-03,54
2005-04,52
2005-05,56
2005-06,56
2005-07,58
2005-08,59
2005-09,57
2005-10,56
2005-11,61
2005-12,62
2006-01,56
2006-02,57
2006-03,55
2006-04,57
2006-05,57
2006-06,63
2006-07,64
2006-08,62
2006-09,58
2006-10,60
2006-11,62
2006-12,63
2007-01,59
2007-02,58
2007-03,54
2007-04,56
2007-05,56
2007-06,57
2007-07,60
2007-08,60
2007-09,57
2007-10,54
2007-11,61
2007-12,62
2008-01,56
2008-02,56
2008-03,54
2008-04,55
2008-05,55
2008-06,55
2008-07,60
2008-08,56
2008-09,54
2008-10,54
2008-11,58
2008-12,56
2009-01,50
2009-02,48
2009-03,48
2009-04,48
2009-05,47
2009-06,46
2009-07,48
2009-08,48
2009-09,46
2009-10,44
2009-11,49
2009-12,49
2010-01,45
2010-02,44
2010-03,43
2010-04,43
2010-05,42
2010-06,43
2010-07,49
2010-08,49
2010-09,46
2010-10,44
2010-11,50
2010-12,53
2011-01,55
2011-02,53
2011-03,53
2011-04,61
2011-05,64
2011-06,67
2011-07,64
2011-08,62
2011-09,60
2011-10,59
2011-11,68
2011-12,66
2012-01,62
2012-02,59
2012-03,55
2012-04,58
2012-05,60
2012-06,61
2012-07,62
2012-08,61
2012-09,61
2012-10,54
2012-11,62
2012-12,63
2013-01,58
2013-02,56
2013-03,56
2013-04,55
2013-05,58
2013-06,59
2013-07,62
2013-08,63
2013-09,58
2013-10,54
2013-11,63
2013-12,61
2014-01,55
2014-02,54
2014-03,52
2014-04,55
2014-05,55
2014-06,55
2014-07,61
2014-08,61
2014-09,54
2014-10,51
2014-11,57
2014-12,59
2015-01,52
2015-02,48
2015-03,48
2015-04,50
2015-05,50
2015-06,52
2015-07,55
2015-08,53
2015-09,51
2015-10,48
2015-11,53
2015-12,56
2016-01,68
2016-02,64
2016-03,67
2016-04,67
2016-05,75
2016-06,74
2016-07,81
2016-08,77
2016-09,74
2016-10,71
2016-11,79
2016-12,86
2017-01,74
2017-02,73
2017-03,72
2017-04,81
2017-05,80
2017-06,89
2017-07,93
2017-08,91
2017-09,86
2017-10,78
2017-11,83
2017-12,96
2018-01,82
2018-02,77
2018-03,79
2018-04,82
2018-05,82
2018-06,85
2018-07,97
2018-08,87
2018-09,83
2018-10,80
2018-11,88
2018-12,100
2019-01,86
2019-02,86
