Category: Hair Care

Month,Geo: United States
2004-01,62
2004-02,63
2004-03,63
2004-04,72
2004-05,68
2004-06,61
2004-07,63
2004-08,61
2004-09,57
2004-10,56
2004-11,52
2004-12,55
2005-01,61
2005-02,60
2005-03,59
2005-04,68
2005-05,64
2005-06,60
2005-07,60
2005-08,61
2005-09,57
2005-10,56
2005-11,52
2005-12,55
2006-01,55
2006-02,56
2006-03,57
2006-04,61
2006-05,60
2006-06,58
2006-07,58
2006-08,59
2006-09,53
2006-10,52
2006-11,48
2006-12,52
2007-01,52
2007-02,56
2007-03,54
2007-04,59
2007-05,56
2007-06,54
2007-07,59
2007-08,62
2007-09,53
2007-10,51
2007-11,48
2007-12,53
2008-01,55
2008-02,55
2008-03,54
2008-04,57
2008-05,56
2008-06,53
2008-07,56
2008-08,58
2008-09,50
2008-10,49
2008-11,47
2008-12,49
2009-01,47
2009-02,48
2009-03,48
2009-04,53
2009-05,52
2009-06,49
2009-07,51
2009-08,52
2009-09,48
2009-10,47
2009-11,43
2009-12,45
2010-01,47
2010-02,47
2010-03,46
2010-04,50
2010-05,49
2010-06,45
2010-07,52
2010-08,52
2010-09,48
2010-10,49
2010-11,47
2010-12,48
2011-01,59
2011-02,66
2011-03,64
2011-04,70
2011-05,64
2011-06,67
2011-07,69
2011-08,72
2011-09,65
2011-10,61
2011-11,61
2011-12,67
2012-01,69
2012-02,74
2012-03,71
2012-04,76
2012-05,74
2012-06,76
2012-07,76
2012-08,83
2012-09,76
2012-10,67
2012-11,67
2012-12,71
2013-01,72
2013-02,74
2013-03,74
2013-04,74
2013-05,73
2013-06,73
2013-07,76
2013-08,80
2013-09,70
2013-10,68
2013-11,68
2013-12,69
2014-01,69
2014-02,71
2014-03,71
2014-04,73
2014-05,71
2014-06,72
2014-07,71
2014-08,71
2014-09,65
2014-10,67
2014-11,62
2014-12,63
2015-01,64
2015-02,67
2015-03,66
2015-04,64
2015-05,63
2015-06,65
2015-07,66
2015-08,65
2015-09,60
2015-10,59
2015-11,58
2015-12,63
2016-01,84
2016-02,87
2016-03,89
2016-04,94
2016-05,88
2016-06,88
2016-07,93
2016-08,91
2016-09,86
2016-10,85
2016-11,80
2016-12,85
2017-01,84
2017-02,88
2017-03,89
2017-04,90
2017-05,92
2017-06,94
2017-07,100
2017-08,95
2017-09,89
2017-10,86
2017-11,85
2017-12,89
2018-01,87
2018-02,90
2018-03,91
2018-04,91
2018-05,90
2018-06,91
2018-07,89
2018-08,93
2018-09,83
2018-10,82
2018-11,80
2018-12,83
2019-01,84
2019-02,90
