Category: Health

Month,Geo: United States
2004-01,94
2004-02,97
2004-03,96
2004-04,100
2004-05,92
2004-06,87
2004-07,90
2004-08,90
2004-09,90
2004-10,91
2004-11,87
2004-12,85
2005-01,92
2005-02,95
2005-03,92
2005-04,92
2005-05,88
2005-06,84
2005-07,82
2005-08,86
2005-09,86
2005-10,88
2005-11,84
2005-12,78
2006-01,85
2006-02,86
2006-03,88
2006-04,86
2006-05,82
2006-06,79
2006-07,78
2006-08,80
2006-09,78
2006-10,81
2006-11,76
2006-12,72
2007-01,77
2007-02,79
2007-03,77
2007-04,78
2007-05,72
2007-06,69
2007-07,72
2007-08,73
2007-09,70
2007-10,75
2007-11,69
2007-12,63
2008-01,73
2008-02,73
2008-03,67
2008-04,73
2008-05,68
2008-06,63
2008-07,65
2008-08,65
2008-09,64
2008-10,67
2008-11,60
2008-12,59
2009-01,62
2009-02,63
2009-03,63
2009-04,66
2009-05,59
2009-06,56
2009-07,58
2009-08,58
2009-09,59
2009-10,59
2009-11,56
2009-12,51
2010-01,53
2010-02,55
2010-03,57
2010-04,56
2010-05,52
2010-06,50
2010-07,55
2010-08,56
2010-09,56
2010-10,55
2010-11,55
2010-12,51
2011-01,65
2011-02,67
2011-03,67
2011-04,68
2011-05,63
2011-06,64
2011-07,62
2011-08,65
2011-09,63
2011-10,66
2011-11,62
2011-12,60
2012-01,66
2012-02,68
2012-03,65
2012-04,67
2012-05,66
2012-06,63
2012-07,65
2012-08,66
2012-09,68
2012-10,66
2012-11,62
2012-12,60
2013-01,67
2013-02,65
2013-03,66
2013-04,68
2013-05,62
2013-06,61
2013-07,62
2013-08,64
2013-09,63
2013-10,63
2013-11,60
2013-12,57
2014-01,61
2014-02,63
2014-03,62
2014-04,64
2014-05,58
2014-06,56
2014-07,58
2014-08,59
2014-09,60
2014-10,62
2014-11,54
2014-12,53
2015-01,57
2015-02,56
2015-03,55
2015-04,56
2015-05,52
2015-06,52
2015-07,52
2015-08,51
2015-09,52
2015-10,54
2015-11,51
2015-12,51
2016-01,65
2016-02,70
2016-03,70
2016-04,69
2016-05,65
2016-06,65
2016-07,66
2016-08,69
2016-09,70
2016-10,68
2016-11,65
2016-12,65
2017-01,71
2017-02,73
2017-03,71
2017-04,72
2017-05,71
2017-06,68
2017-07,70
2017-08,71
2017-09,70
2017-10,72
2017-11,69
2017-12,67
2018-01,74
2018-02,75
2018-03,73
2018-04,74
2018-05,71
2018-06,70
2018-07,69
2018-08,70
2018-09,70
2018-10,70
2018-11,68
2018-12,68
2019-01,74
2019-02,80
