Category: Health Insurance

Month,Geo: United States
2004-01,96
2004-02,92
2004-03,89
2004-04,88
2004-05,83
2004-06,91
2004-07,88
2004-08,95
2004-09,90
2004-10,90
2004-11,81
2004-12,79
2005-01,92
2005-02,90
2005-03,84
2005-04,79
2005-05,80
2005-06,84
2005-07,86
2005-08,95
2005-09,83
2005-10,90
2005-11,95
2005-12,86
2006-01,100
2006-02,88
2006-03,83
2006-04,84
2006-05,84
2006-06,82
2006-07,83
2006-08,88
2006-09,79
2006-10,84
2006-11,80
2006-12,76
2007-01,87
2007-02,79
2007-03,77
2007-04,78
2007-05,73
2007-06,73
2007-07,76
2007-08,80
2007-09,70
2007-10,77
2007-11,71
2007-12,64
2008-01,79
2008-02,71
2008-03,66
2008-04,67
2008-05,62
2008-06,63
2008-07,65
2008-08,63
2008-09,61
2008-10,69
2008-11,59
2008-12,58
2009-01,63
2009-02,59
2009-03,60
2009-04,55
2009-05,51
2009-06,54
2009-07,55
2009-08,57
2009-09,55
2009-10,55
2009-11,52
2009-12,50
2010-01,51
2010-02,51
2010-03,54
2010-04,49
2010-05,44
2010-06,48
2010-07,48
2010-08,50
2010-09,49
2010-10,47
2010-11,47
2010-12,45
2011-01,57
2011-02,53
2011-03,55
2011-04,52
2011-05,49
2011-06,52
2011-07,50
2011-08,54
2011-09,50
2011-10,55
2011-11,53
2011-12,49
2012-01,55
2012-02,53
2012-03,50
2012-04,49
2012-05,48
2012-06,49
2012-07,51
2012-08,53
2012-09,51
2012-10,56
2012-11,52
2012-12,45
2013-01,54
2013-02,50
2013-03,48
2013-04,49
2013-05,46
2013-06,46
2013-07,48
2013-08,49
2013-09,52
2013-10,64
2013-11,55
2013-12,54
2014-01,58
2014-02,54
2014-03,57
2014-04,50
2014-05,45
2014-06,46
2014-07,48
2014-08,47
2014-09,49
2014-10,53
2014-11,50
2014-12,50
2015-01,52
2015-02,52
2015-03,46
2015-04,44
2015-05,39
2015-06,43
2015-07,44
2015-08,43
2015-09,42
2015-10,46
2015-11,47
2015-12,46
2016-01,56
2016-02,54
2016-03,52
2016-04,49
2016-05,46
2016-06,48
2016-07,47
2016-08,52
2016-09,50
2016-10,53
2016-11,57
2016-12,54
2017-01,60
2017-02,54
2017-03,54
2017-04,48
2017-05,51
2017-06,51
2017-07,50
2017-08,53
2017-09,51
2017-10,57
2017-11,59
2017-12,53
2018-01,57
2018-02,55
2018-03,50
2018-04,50
2018-05,49
2018-06,48
2018-07,49
2018-08,52
2018-09,48
2018-10,57
2018-11,56
2018-12,52
2019-01,59
2019-02,68
