Category: Home & Garden

Month,Geo: United States
2004-01,91
2004-02,90
2004-03,92
2004-04,97
2004-05,98
2004-06,94
2004-07,100
2004-08,96
2004-09,86
2004-10,83
2004-11,83
2004-12,87
2005-01,90
2005-02,83
2005-03,84
2005-04,88
2005-05,92
2005-06,86
2005-07,91
2005-08,92
2005-09,80
2005-10,82
2005-11,83
2005-12,82
2006-01,81
2006-02,77
2006-03,79
2006-04,83
2006-05,85
2006-06,86
2006-07,87
2006-08,84
2006-09,78
2006-10,75
2006-11,72
2006-12,76
2007-01,74
2007-02,70
2007-03,71
2007-04,77
2007-05,74
2007-06,72
2007-07,81
2007-08,73
2007-09,66
2007-10,64
2007-11,65
2007-12,66
2008-01,66
2008-02,63
2008-03,63
2008-04,68
2008-05,65
2008-06,66
2008-07,65
2008-08,62
2008-09,55
2008-10,54
2008-11,53
2008-12,56
2009-01,52
2009-02,50
2009-03,52
2009-04,56
2009-05,54
2009-06,54
2009-07,51
2009-08,52
2009-09,47
2009-10,46
2009-11,46
2009-12,46
2010-01,44
2010-02,46
2010-03,47
2010-04,49
2010-05,48
2010-06,47
2010-07,50
2010-08,47
2010-09,44
2010-10,43
2010-11,44
2010-12,44
2011-01,55
2011-02,54
2011-03,54
2011-04,59
2011-05,60
2011-06,58
2011-07,60
2011-08,58
2011-09,54
2011-10,53
2011-11,56
2011-12,57
2012-01,57
2012-02,56
2012-03,56
2012-04,60
2012-05,60
2012-06,61
2012-07,59
2012-08,58
2012-09,55
2012-10,52
2012-11,55
2012-12,55
2013-01,54
2013-02,54
2013-03,55
2013-04,59
2013-05,60
2013-06,58
2013-07,60
2013-08,58
2013-09,53
2013-10,52
2013-11,54
2013-12,52
2014-01,53
2014-02,50
2014-03,52
2014-04,55
2014-05,58
2014-06,57
2014-07,54
2014-08,53
2014-09,51
2014-10,49
2014-11,50
2014-12,48
2015-01,45
2015-02,49
2015-03,47
2015-04,49
2015-05,49
2015-06,48
2015-07,51
2015-08,49
2015-09,44
2015-10,44
2015-11,48
2015-12,47
2016-01,59
2016-02,60
2016-03,62
2016-04,66
2016-05,68
2016-06,66
2016-07,68
2016-08,68
2016-09,64
2016-10,63
2016-11,66
2016-12,66
2017-01,66
2017-02,64
2017-03,67
2017-04,71
2017-05,75
2017-06,74
2017-07,75
2017-08,68
2017-09,69
2017-10,69
2017-11,72
2017-12,69
2018-01,64
2018-02,65
2018-03,66
2018-04,73
2018-05,76
2018-06,77
2018-07,76
2018-08,69
2018-09,66
2018-10,65
2018-11,70
2018-12,67
2019-01,66
2019-02,66
