Category: Home Appliances

Month,Geo: United States
2004-01,94
2004-02,86
2004-03,83
2004-04,84
2004-05,82
2004-06,81
2004-07,87
2004-08,89
2004-09,82
2004-10,82
2004-11,89
2004-12,100
2005-01,91
2005-02,83
2005-03,78
2005-04,75
2005-05,75
2005-06,76
2005-07,81
2005-08,84
2005-09,76
2005-10,78
2005-11,85
2005-12,94
2006-01,80
2006-02,73
2006-03,70
2006-04,68
2006-05,67
2006-06,72
2006-07,79
2006-08,77
2006-09,71
2006-10,71
2006-11,79
2006-12,89
2007-01,76
2007-02,71
2007-03,64
2007-04,67
2007-05,64
2007-06,65
2007-07,69
2007-08,69
2007-09,62
2007-10,65
2007-11,75
2007-12,86
2008-01,68
2008-02,62
2008-03,60
2008-04,58
2008-05,59
2008-06,57
2008-07,58
2008-08,57
2008-09,54
2008-10,54
2008-11,59
2008-12,66
2009-01,58
2009-02,52
2009-03,51
2009-04,50
2009-05,47
2009-06,47
2009-07,49
2009-08,51
2009-09,48
2009-10,48
2009-11,54
2009-12,56
2010-01,51
2010-02,49
2010-03,46
2010-04,47
2010-05,44
2010-06,45
2010-07,49
2010-08,47
2010-09,44
2010-10,43
2010-11,51
2010-12,54
2011-01,59
2011-02,53
2011-03,51
2011-04,51
2011-05,51
2011-06,51
2011-07,54
2011-08,52
2011-09,51
2011-10,50
2011-11,60
2011-12,63
2012-01,55
2012-02,52
2012-03,49
2012-04,48
2012-05,50
2012-06,49
2012-07,52
2012-08,52
2012-09,51
2012-10,48
2012-11,60
2012-12,60
2013-01,53
2013-02,50
2013-03,49
2013-04,49
2013-05,47
2013-06,48
2013-07,50
2013-08,49
2013-09,50
2013-10,49
2013-11,58
2013-12,60
2014-01,52
2014-02,48
2014-03,47
2014-04,46
2014-05,45
2014-06,45
2014-07,47
2014-08,48
2014-09,45
2014-10,45
2014-11,53
2014-12,54
2015-01,45
2015-02,43
2015-03,42
2015-04,41
2015-05,39
2015-06,40
2015-07,44
2015-08,42
2015-09,40
2015-10,40
2015-11,50
2015-12,49
2016-01,57
2016-02,55
2016-03,52
2016-04,54
2016-05,55
2016-06,53
2016-07,56
2016-08,57
2016-09,56
2016-10,55
2016-11,68
2016-12,69
2017-01,60
2017-02,56
2017-03,57
2017-04,59
2017-05,61
2017-06,60
2017-07,61
2017-08,60
2017-09,60
2017-10,58
2017-11,73
2017-12,68
2018-01,63
2018-02,59
2018-03,57
2018-04,56
2018-05,58
2018-06,59
2018-07,62
2018-08,60
2018-09,57
2018-10,57
2018-11,75
2018-12,71
2019-01,63
2019-02,60
