Category: Home Financing

Month,Geo: United States
2004-01,94
2004-02,92
2004-03,100
2004-04,97
2004-05,87
2004-06,89
2004-07,88
2004-08,89
2004-09,79
2004-10,74
2004-11,69
2004-12,69
2005-01,83
2005-02,87
2005-03,86
2005-04,83
2005-05,83
2005-06,90
2005-07,90
2005-08,92
2005-09,76
2005-10,75
2005-11,69
2005-12,65
2006-01,80
2006-02,78
2006-03,79
2006-04,81
2006-05,76
2006-06,80
2006-07,82
2006-08,82
2006-09,72
2006-10,71
2006-11,64
2006-12,65
2007-01,77
2007-02,77
2007-03,80
2007-04,78
2007-05,70
2007-06,73
2007-07,77
2007-08,84
2007-09,68
2007-10,63
2007-11,59
2007-12,58
2008-01,88
2008-02,81
2008-03,78
2008-04,70
2008-05,65
2008-06,62
2008-07,65
2008-08,59
2008-09,65
2008-10,65
2008-11,52
2008-12,77
2009-01,80
2009-02,74
2009-03,81
2009-04,74
2009-05,58
2009-06,56
2009-07,53
2009-08,52
2009-09,45
2009-10,45
2009-11,40
2009-12,40
2010-01,43
2010-02,43
2010-03,43
2010-04,42
2010-05,37
2010-06,40
2010-07,46
2010-08,49
2010-09,43
2010-10,44
2010-11,41
2010-12,39
2011-01,54
2011-02,54
2011-03,53
2011-04,53
2011-05,51
2011-06,55
2011-07,56
2011-08,65
2011-09,61
2011-10,60
2011-11,58
2011-12,59
2012-01,65
2012-02,69
2012-03,65
2012-04,65
2012-05,64
2012-06,65
2012-07,67
2012-08,65
2012-09,65
2012-10,63
2012-11,59
2012-12,60
2013-01,64
2013-02,64
2013-03,63
2013-04,63
2013-05,62
2013-06,63
2013-07,62
2013-08,60
2013-09,55
2013-10,52
2013-11,50
2013-12,48
2014-01,50
2014-02,52
2014-03,50
2014-04,51
2014-05,47
2014-06,47
2014-07,47
2014-08,47
2014-09,45
2014-10,44
2014-11,40
2014-12,40
2015-01,44
2015-02,44
2015-03,43
2015-04,43
2015-05,41
2015-06,41
2015-07,42
2015-08,41
2015-09,37
2015-10,35
2015-11,34
2015-12,33
2016-01,43
2016-02,48
2016-03,46
2016-04,45
2016-05,42
2016-06,45
2016-07,48
2016-08,47
2016-09,44
2016-10,42
2016-11,43
2016-12,44
2017-01,47
2017-02,45
2017-03,45
2017-04,44
2017-05,45
2017-06,46
2017-07,45
2017-08,44
2017-09,43
2017-10,41
2017-11,41
2017-12,40
2018-01,43
2018-02,44
2018-03,43
2018-04,43
2018-05,41
2018-06,42
2018-07,41
2018-08,41
2018-09,37
2018-10,38
2018-11,37
2018-12,37
2019-01,41
2019-02,62
