Category: Home Furnishings

Month,Geo: United States
2004-01,100
2004-02,94
2004-03,89
2004-04,91
2004-05,84
2004-06,86
2004-07,97
2004-08,98
2004-09,87
2004-10,87
2004-11,91
2004-12,89
2005-01,98
2005-02,91
2005-03,84
2005-04,81
2005-05,78
2005-06,77
2005-07,85
2005-08,90
2005-09,79
2005-10,83
2005-11,84
2005-12,82
2006-01,88
2006-02,83
2006-03,76
2006-04,75
2006-05,71
2006-06,73
2006-07,81
2006-08,82
2006-09,75
2006-10,74
2006-11,77
2006-12,74
2007-01,78
2007-02,78
2007-03,70
2007-04,70
2007-05,65
2007-06,62
2007-07,71
2007-08,73
2007-09,64
2007-10,65
2007-11,67
2007-12,65
2008-01,70
2008-02,63
2008-03,60
2008-04,56
2008-05,55
2008-06,53
2008-07,57
2008-08,57
2008-09,52
2008-10,51
2008-11,53
2008-12,51
2009-01,52
2009-02,49
2009-03,48
2009-04,45
2009-05,44
2009-06,42
2009-07,45
2009-08,46
2009-09,43
2009-10,43
2009-11,46
2009-12,43
2010-01,45
2010-02,44
2010-03,41
2010-04,40
2010-05,38
2010-06,38
2010-07,40
2010-08,41
2010-09,39
2010-10,38
2010-11,41
2010-12,39
2011-01,54
2011-02,52
2011-03,48
2011-04,47
2011-05,45
2011-06,45
2011-07,49
2011-08,50
2011-09,50
2011-10,47
2011-11,52
2011-12,51
2012-01,54
2012-02,53
2012-03,49
2012-04,47
2012-05,46
2012-06,46
2012-07,48
2012-08,50
2012-09,48
2012-10,46
2012-11,50
2012-12,48
2013-01,52
2013-02,49
2013-03,48
2013-04,46
2013-05,45
2013-06,44
2013-07,48
2013-08,49
2013-09,45
2013-10,45
2013-11,49
2013-12,47
2014-01,47
2014-02,48
2014-03,46
2014-04,44
2014-05,42
2014-06,42
2014-07,43
2014-08,46
2014-09,43
2014-10,43
2014-11,45
2014-12,43
2015-01,43
2015-02,44
2015-03,41
2015-04,37
2015-05,35
2015-06,36
2015-07,39
2015-08,39
2015-09,39
2015-10,38
2015-11,42
2015-12,41
2016-01,55
2016-02,55
2016-03,52
2016-04,53
2016-05,52
2016-06,51
2016-07,55
2016-08,56
2016-09,55
2016-10,54
2016-11,60
2016-12,57
2017-01,58
2017-02,59
2017-03,58
2017-04,55
2017-05,55
2017-06,54
2017-07,57
2017-08,58
2017-09,56
2017-10,58
2017-11,64
2017-12,59
2018-01,60
2018-02,57
2018-03,57
2018-04,55
2018-05,54
2018-06,53
2018-07,55
2018-08,56
2018-09,54
2018-10,53
2018-11,61
2018-12,58
2019-01,59
2019-02,57
