Category: Home Improvement

Month,Geo: United States
2004-01,93
2004-02,87
2004-03,92
2004-04,94
2004-05,94
2004-06,95
2004-07,100
2004-08,98
2004-09,91
2004-10,88
2004-11,86
2004-12,84
2005-01,90
2005-02,86
2005-03,88
2005-04,84
2005-05,89
2005-06,96
2005-07,95
2005-08,96
2005-09,85
2005-10,88
2005-11,84
2005-12,81
2006-01,85
2006-02,79
2006-03,80
2006-04,82
2006-05,84
2006-06,88
2006-07,94
2006-08,87
2006-09,80
2006-10,79
2006-11,74
2006-12,74
2007-01,78
2007-02,77
2007-03,70
2007-04,77
2007-05,74
2007-06,73
2007-07,79
2007-08,77
2007-09,68
2007-10,69
2007-11,66
2007-12,61
2008-01,67
2008-02,64
2008-03,64
2008-04,67
2008-05,65
2008-06,71
2008-07,66
2008-08,63
2008-09,57
2008-10,58
2008-11,53
2008-12,51
2009-01,53
2009-02,52
2009-03,54
2009-04,54
2009-05,52
2009-06,54
2009-07,53
2009-08,52
2009-09,49
2009-10,49
2009-11,46
2009-12,45
2010-01,46
2010-02,45
2010-03,46
2010-04,47
2010-05,47
2010-06,48
2010-07,50
2010-08,48
2010-09,43
2010-10,43
2010-11,44
2010-12,42
2011-01,54
2011-02,53
2011-03,55
2011-04,57
2011-05,57
2011-06,59
2011-07,61
2011-08,58
2011-09,55
2011-10,54
2011-11,54
2011-12,52
2012-01,55
2012-02,55
2012-03,57
2012-04,57
2012-05,60
2012-06,65
2012-07,62
2012-08,59
2012-09,56
2012-10,55
2012-11,55
2012-12,54
2013-01,57
2013-02,55
2013-03,57
2013-04,59
2013-05,59
2013-06,61
2013-07,64
2013-08,60
2013-09,56
2013-10,57
2013-11,57
2013-12,53
2014-01,54
2014-02,54
2014-03,55
2014-04,57
2014-05,57
2014-06,58
2014-07,58
2014-08,55
2014-09,54
2014-10,54
2014-11,52
2014-12,48
2015-01,48
2015-02,51
2015-03,51
2015-04,51
2015-05,50
2015-06,52
2015-07,53
2015-08,51
2015-09,48
2015-10,47
2015-11,49
2015-12,45
2016-01,64
2016-02,64
2016-03,66
2016-04,70
2016-05,67
2016-06,71
2016-07,73
2016-08,71
2016-09,67
2016-10,66
2016-11,68
2016-12,67
2017-01,68
2017-02,67
2017-03,73
2017-04,74
2017-05,74
2017-06,79
2017-07,81
2017-08,75
2017-09,76
2017-10,73
2017-11,73
2017-12,71
2018-01,70
2018-02,71
2018-03,72
2018-04,76
2018-05,78
2018-06,78
2018-07,80
2018-08,73
2018-09,69
2018-10,69
2018-11,72
2018-12,70
2019-01,71
2019-02,73
