Category: Home Insurance

Month,Geo: United States
2004-01,93
2004-02,91
2004-03,93
2004-04,97
2004-05,89
2004-06,94
2004-07,90
2004-08,96
2004-09,88
2004-10,78
2004-11,70
2004-12,79
2005-01,88
2005-02,88
2005-03,84
2005-04,87
2005-05,88
2005-06,91
2005-07,90
2005-08,94
2005-09,96
2005-10,94
2005-11,85
2005-12,89
2006-01,89
2006-02,86
2006-03,85
2006-04,95
2006-05,90
2006-06,94
2006-07,99
2006-08,100
2006-09,86
2006-10,90
2006-11,88
2006-12,89
2007-01,89
2007-02,87
2007-03,81
2007-04,85
2007-05,79
2007-06,80
2007-07,85
2007-08,84
2007-09,71
2007-10,74
2007-11,69
2007-12,71
2008-01,75
2008-02,71
2008-03,70
2008-04,70
2008-05,69
2008-06,72
2008-07,70
2008-08,69
2008-09,65
2008-10,66
2008-11,60
2008-12,59
2009-01,62
2009-02,62
2009-03,57
2009-04,62
2009-05,58
2009-06,57
2009-07,60
2009-08,58
2009-09,56
2009-10,56
2009-11,50
2009-12,52
2010-01,51
2010-02,53
2010-03,54
2010-04,54
2010-05,53
2010-06,55
2010-07,56
2010-08,59
2010-09,53
2010-10,51
2010-11,49
2010-12,48
2011-01,59
2011-02,60
2011-03,57
2011-04,60
2011-05,60
2011-06,62
2011-07,59
2011-08,66
2011-09,58
2011-10,55
2011-11,53
2011-12,52
2012-01,55
2012-02,55
2012-03,53
2012-04,53
2012-05,57
2012-06,82
2012-07,60
2012-08,60
2012-09,54
2012-10,52
2012-11,50
2012-12,50
2013-01,53
2013-02,51
2013-03,50
2013-04,51
2013-05,53
2013-06,59
2013-07,55
2013-08,55
2013-09,51
2013-10,49
2013-11,46
2013-12,47
2014-01,48
2014-02,50
2014-03,48
2014-04,51
2014-05,49
2014-06,49
2014-07,50
2014-08,50
2014-09,46
2014-10,47
2014-11,44
2014-12,42
2015-01,44
2015-02,45
2015-03,42
2015-04,44
2015-05,42
2015-06,45
2015-07,45
2015-08,44
2015-09,40
2015-10,40
2015-11,43
2015-12,38
2016-01,50
2016-02,53
2016-03,54
2016-04,55
2016-05,56
2016-06,56
2016-07,59
2016-08,59
2016-09,54
2016-10,56
2016-11,52
2016-12,53
2017-01,57
2017-02,54
2017-03,59
2017-04,57
2017-05,59
2017-06,61
2017-07,63
2017-08,59
2017-09,64
2017-10,57
2017-11,54
2017-12,50
2018-01,52
2018-02,53
2018-03,54
2018-04,55
2018-05,54
2018-06,56
2018-07,56
2018-08,56
2018-09,50
2018-10,50
2018-11,49
2018-12,47
2019-01,52
2019-02,62
