Category: Homemaking & Interior Decor

Month,Geo: United States
2004-01,97
2004-02,84
2004-03,78
2004-04,76
2004-05,72
2004-06,74
2004-07,83
2004-08,81
2004-09,73
2004-10,73
2004-11,78
2004-12,79
2005-01,94
2005-02,84
2005-03,72
2005-04,69
2005-05,69
2005-06,65
2005-07,73
2005-08,76
2005-09,71
2005-10,72
2005-11,74
2005-12,76
2006-01,100
2006-02,80
2006-03,67
2006-04,64
2006-05,62
2006-06,64
2006-07,69
2006-08,73
2006-09,74
2006-10,64
2006-11,66
2006-12,69
2007-01,76
2007-02,69
2007-03,58
2007-04,60
2007-05,53
2007-06,53
2007-07,61
2007-08,62
2007-09,63
2007-10,57
2007-11,57
2007-12,59
2008-01,72
2008-02,63
2008-03,55
2008-04,57
2008-05,51
2008-06,49
2008-07,55
2008-08,54
2008-09,50
2008-10,48
2008-11,48
2008-12,49
2009-01,58
2009-02,51
2009-03,44
2009-04,42
2009-05,41
2009-06,41
2009-07,41
2009-08,44
2009-09,43
2009-10,39
2009-11,41
2009-12,40
2010-01,48
2010-02,46
2010-03,38
2010-04,38
2010-05,39
2010-06,37
2010-07,40
2010-08,41
2010-09,41
2010-10,37
2010-11,40
2010-12,39
2011-01,67
2011-02,55
2011-03,46
2011-04,44
2011-05,45
2011-06,42
2011-07,45
2011-08,51
2011-09,50
2011-10,48
2011-11,47
2011-12,50
2012-01,61
2012-02,54
2012-03,47
2012-04,47
2012-05,47
2012-06,46
2012-07,48
2012-08,51
2012-09,51
2012-10,46
2012-11,50
2012-12,50
2013-01,64
2013-02,55
2013-03,49
2013-04,47
2013-05,48
2013-06,47
2013-07,49
2013-08,50
2013-09,50
2013-10,49
2013-11,52
2013-12,50
2014-01,56
2014-02,49
2014-03,43
2014-04,43
2014-05,42
2014-06,40
2014-07,42
2014-08,44
2014-09,45
2014-10,43
2014-11,46
2014-12,45
2015-01,48
2015-02,44
2015-03,39
2015-04,38
2015-05,38
2015-06,37
2015-07,37
2015-08,40
2015-09,40
2015-10,40
2015-11,43
2015-12,43
2016-01,59
2016-02,55
2016-03,52
2016-04,53
2016-05,53
2016-06,49
2016-07,52
2016-08,54
2016-09,57
2016-10,56
2016-11,60
2016-12,64
2017-01,64
2017-02,60
2017-03,58
2017-04,57
2017-05,58
2017-06,59
2017-07,58
2017-08,59
2017-09,59
2017-10,63
2017-11,67
2017-12,68
2018-01,66
2018-02,60
2018-03,59
2018-04,58
2018-05,57
2018-06,55
2018-07,56
2018-08,56
2018-09,57
2018-10,57
2018-11,63
2018-12,66
2019-01,63
2019-02,61
