Category: Hotels & Accommodations

Month,Geo: United States
2004-01,90
2004-02,97
2004-03,96
2004-04,92
2004-05,93
2004-06,99
2004-07,100
2004-08,97
2004-09,84
2004-10,77
2004-11,70
2004-12,68
2005-01,89
2005-02,91
2005-03,87
2005-04,83
2005-05,87
2005-06,87
2005-07,92
2005-08,92
2005-09,75
2005-10,73
2005-11,65
2005-12,64
2006-01,79
2006-02,78
2006-03,79
2006-04,76
2006-05,76
2006-06,81
2006-07,87
2006-08,81
2006-09,68
2006-10,66
2006-11,59
2006-12,56
2007-01,68
2007-02,71
2007-03,69
2007-04,69
2007-05,68
2007-06,68
2007-07,74
2007-08,68
2007-09,58
2007-10,56
2007-11,47
2007-12,47
2008-01,57
2008-02,56
2008-03,55
2008-04,57
2008-05,55
2008-06,55
2008-07,57
2008-08,53
2008-09,45
2008-10,44
2008-11,39
2008-12,38
2009-01,43
2009-02,43
2009-03,44
2009-04,43
2009-05,42
2009-06,44
2009-07,47
2009-08,42
2009-09,36
2009-10,35
2009-11,31
2009-12,31
2010-01,35
2010-02,36
2010-03,37
2010-04,37
2010-05,36
2010-06,39
2010-07,44
2010-08,40
2010-09,36
2010-10,33
2010-11,30
2010-12,31
2011-01,40
2011-02,40
2011-03,42
2011-04,41
2011-05,43
2011-06,46
2011-07,49
2011-08,44
2011-09,39
2011-10,37
2011-11,32
2011-12,33
2012-01,38
2012-02,40
2012-03,39
2012-04,40
2012-05,40
2012-06,42
2012-07,44
2012-08,41
2012-09,36
2012-10,33
2012-11,30
2012-12,30
2013-01,34
2013-02,36
2013-03,37
2013-04,36
2013-05,37
2013-06,39
2013-07,41
2013-08,38
2013-09,33
2013-10,31
2013-11,28
2013-12,28
2014-01,31
2014-02,32
2014-03,34
2014-04,34
2014-05,33
2014-06,36
2014-07,37
2014-08,34
2014-09,30
2014-10,28
2014-11,25
2014-12,26
2015-01,28
2015-02,30
2015-03,29
2015-04,29
2015-05,29
2015-06,31
2015-07,33
2015-08,31
2015-09,27
2015-10,27
2015-11,24
2015-12,24
2016-01,36
2016-02,38
2016-03,41
2016-04,39
2016-05,39
2016-06,43
2016-07,47
2016-08,42
2016-09,39
2016-10,39
2016-11,34
2016-12,34
2017-01,39
2017-02,39
2017-03,43
2017-04,41
2017-05,42
2017-06,47
2017-07,47
2017-08,44
2017-09,40
2017-10,52
2017-11,33
2017-12,34
2018-01,36
2018-02,37
2018-03,39
2018-04,40
2018-05,39
2018-06,42
2018-07,44
2018-08,40
2018-09,38
2018-10,35
2018-11,32
2018-12,34
2019-01,37
2019-02,40
