Category: Internet & Telecom

Month,Geo: United States
2004-01,97
2004-02,97
2004-03,90
2004-04,94
2004-05,88
2004-06,93
2004-07,98
2004-08,99
2004-09,93
2004-10,90
2004-11,88
2004-12,100
2005-01,97
2005-02,93
2005-03,90
2005-04,87
2005-05,87
2005-06,88
2005-07,93
2005-08,100
2005-09,91
2005-10,88
2005-11,88
2005-12,91
2006-01,93
2006-02,90
2006-03,84
2006-04,85
2006-05,84
2006-06,87
2006-07,90
2006-08,94
2006-09,86
2006-10,84
2006-11,82
2006-12,89
2007-01,86
2007-02,82
2007-03,80
2007-04,81
2007-05,78
2007-06,83
2007-07,85
2007-08,86
2007-09,80
2007-10,80
2007-11,78
2007-12,82
2008-01,80
2008-02,78
2008-03,74
2008-04,73
2008-05,73
2008-06,76
2008-07,82
2008-08,82
2008-09,79
2008-10,79
2008-11,78
2008-12,81
2009-01,76
2009-02,77
2009-03,75
2009-04,76
2009-05,73
2009-06,75
2009-07,72
2009-08,76
2009-09,72
2009-10,71
2009-11,71
2009-12,73
2010-01,70
2010-02,69
2010-03,69
2010-04,69
2010-05,66
2010-06,71
2010-07,82
2010-08,84
2010-09,78
2010-10,75
2010-11,75
2010-12,77
2011-01,84
2011-02,83
2011-03,80
2011-04,81
2011-05,78
2011-06,82
2011-07,84
2011-08,83
2011-09,82
2011-10,84
2011-11,79
2011-12,83
2012-01,79
2012-02,79
2012-03,77
2012-04,76
2012-05,75
2012-06,76
2012-07,79
2012-08,79
2012-09,85
2012-10,79
2012-11,80
2012-12,82
2013-01,81
2013-02,77
2013-03,75
2013-04,74
2013-05,72
2013-06,73
2013-07,75
2013-08,75
2013-09,75
2013-10,70
2013-11,71
2013-12,71
2014-01,65
2014-02,67
2014-03,65
2014-04,66
2014-05,61
2014-06,63
2014-07,61
2014-08,64
2014-09,71
2014-10,65
2014-11,60
2014-12,61
2015-01,56
2015-02,56
2015-03,54
2015-04,54
2015-05,50
2015-06,49
2015-07,47
2015-08,48
2015-09,51
2015-10,49
2015-11,48
2015-12,51
2016-01,53
2016-02,54
2016-03,56
2016-04,55
2016-05,53
2016-06,54
2016-07,56
2016-08,58
2016-09,62
2016-10,56
2016-11,54
2016-12,58
2017-01,56
2017-02,54
2017-03,54
2017-04,54
2017-05,53
2017-06,53
2017-07,51
2017-08,55
2017-09,58
2017-10,55
2017-11,54
2017-12,54
2018-01,51
2018-02,51
2018-03,50
2018-04,49
2018-05,47
2018-06,45
2018-07,45
2018-08,47
2018-09,49
2018-10,47
2018-11,47
2018-12,47
2019-01,46
2019-02,49
