Category: Medical Facilities & Services

Month,Geo: United States
2004-01,99
2004-02,99
2004-03,95
2004-04,100
2004-05,93
2004-06,98
2004-07,96
2004-08,96
2004-09,97
2004-10,92
2004-11,86
2004-12,89
2005-01,97
2005-02,96
2005-03,97
2005-04,93
2005-05,92
2005-06,93
2005-07,92
2005-08,95
2005-09,91
2005-10,93
2005-11,88
2005-12,81
2006-01,92
2006-02,94
2006-03,95
2006-04,91
2006-05,86
2006-06,92
2006-07,89
2006-08,94
2006-09,89
2006-10,88
2006-11,80
2006-12,80
2007-01,89
2007-02,86
2007-03,85
2007-04,87
2007-05,84
2007-06,80
2007-07,83
2007-08,86
2007-09,82
2007-10,86
2007-11,77
2007-12,72
2008-01,82
2008-02,79
2008-03,76
2008-04,80
2008-05,76
2008-06,75
2008-07,74
2008-08,75
2008-09,74
2008-10,76
2008-11,67
2008-12,64
2009-01,69
2009-02,71
2009-03,71
2009-04,70
2009-05,66
2009-06,67
2009-07,66
2009-08,66
2009-09,65
2009-10,66
2009-11,61
2009-12,59
2010-01,62
2010-02,64
2010-03,65
2010-04,65
2010-05,59
2010-06,60
2010-07,63
2010-08,65
2010-09,65
2010-10,62
2010-11,61
2010-12,56
2011-01,73
2011-02,73
2011-03,77
2011-04,73
2011-05,69
2011-06,74
2011-07,71
2011-08,75
2011-09,69
2011-10,70
2011-11,70
2011-12,66
2012-01,72
2012-02,73
2012-03,71
2012-04,73
2012-05,73
2012-06,70
2012-07,70
2012-08,74
2012-09,71
2012-10,71
2012-11,65
2012-12,64
2013-01,72
2013-02,71
2013-03,71
2013-04,71
2013-05,70
2013-06,65
2013-07,70
2013-08,72
2013-09,68
2013-10,70
2013-11,64
2013-12,61
2014-01,67
2014-02,67
2014-03,66
2014-04,69
2014-05,66
2014-06,66
2014-07,66
2014-08,63
2014-09,69
2014-10,67
2014-11,58
2014-12,58
2015-01,59
2015-02,61
2015-03,61
2015-04,60
2015-05,58
2015-06,60
2015-07,58
2015-08,58
2015-09,59
2015-10,61
2015-11,55
2015-12,54
2016-01,72
2016-02,76
2016-03,77
2016-04,78
2016-05,73
2016-06,75
2016-07,75
2016-08,82
2016-09,81
2016-10,75
2016-11,71
2016-12,71
2017-01,80
2017-02,81
2017-03,81
2017-04,79
2017-05,80
2017-06,81
2017-07,79
2017-08,85
2017-09,80
2017-10,83
2017-11,79
2017-12,74
2018-01,85
2018-02,84
2018-03,79
2018-04,83
2018-05,79
2018-06,80
2018-07,82
2018-08,82
2018-09,76
2018-10,79
2018-11,75
2018-12,75
2019-01,85
2019-02,90
