Category: Men's Clothing

Month,Geo: United States
2004-01,73
2004-02,73
2004-03,75
2004-04,82
2004-05,81
2004-06,77
2004-07,74
2004-08,71
2004-09,75
2004-10,75
2004-11,80
2004-12,98
2005-01,77
2005-02,76
2005-03,75
2005-04,78
2005-05,79
2005-06,73
2005-07,70
2005-08,75
2005-09,71
2005-10,75
2005-11,78
2005-12,100
2006-01,71
2006-02,71
2006-03,77
2006-04,78
2006-05,72
2006-06,71
2006-07,71
2006-08,69
2006-09,69
2006-10,69
2006-11,73
2006-12,93
2007-01,67
2007-02,64
2007-03,67
2007-04,73
2007-05,67
2007-06,65
2007-07,61
2007-08,61
2007-09,60
2007-10,59
2007-11,65
2007-12,78
2008-01,56
2008-02,57
2008-03,58
2008-04,61
2008-05,61
2008-06,57
2008-07,52
2008-08,53
2008-09,54
2008-10,53
2008-11,55
2008-12,69
2009-01,51
2009-02,48
2009-03,51
2009-04,56
2009-05,52
2009-06,48
2009-07,46
2009-08,45
2009-09,45
2009-10,46
2009-11,46
2009-12,58
2010-01,42
2010-02,43
2010-03,44
2010-04,49
2010-05,46
2010-06,45
2010-07,45
2010-08,45
2010-09,45
2010-10,45
2010-11,50
2010-12,60
2011-01,58
2011-02,56
2011-03,57
2011-04,68
2011-05,66
2011-06,65
2011-07,63
2011-08,61
2011-09,62
2011-10,60
2011-11,63
2011-12,80
2012-01,60
2012-02,62
2012-03,64
2012-04,76
2012-05,74
2012-06,70
2012-07,69
2012-08,69
2012-09,67
2012-10,63
2012-11,67
2012-12,82
2013-01,66
2013-02,66
2013-03,68
2013-04,73
2013-05,71
2013-06,62
2013-07,64
2013-08,64
2013-09,58
2013-10,58
2013-11,60
2013-12,73
2014-01,53
2014-02,55
2014-03,60
2014-04,62
2014-05,60
2014-06,56
2014-07,53
2014-08,54
2014-09,54
2014-10,54
2014-11,55
2014-12,65
2015-01,48
2015-02,52
2015-03,54
2015-04,62
2015-05,57
2015-06,50
2015-07,49
2015-08,53
2015-09,53
2015-10,51
2015-11,52
2015-12,60
2016-01,68
2016-02,71
2016-03,78
2016-04,83
2016-05,79
2016-06,73
2016-07,72
2016-08,73
2016-09,76
2016-10,75
2016-11,75
2016-12,86
2017-01,69
2017-02,71
2017-03,76
2017-04,88
2017-05,84
2017-06,74
2017-07,71
2017-08,75
2017-09,78
2017-10,81
2017-11,81
2017-12,87
2018-01,67
2018-02,71
2018-03,78
2018-04,88
2018-05,84
2018-06,77
2018-07,71
2018-08,77
2018-09,74
2018-10,71
2018-11,79
2018-12,87
2019-01,67
2019-02,71
