Category: Mobile & Wireless

Month,Geo: United States
2004-01,81
2004-02,80
2004-03,77
2004-04,78
2004-05,76
2004-06,84
2004-07,87
2004-08,88
2004-09,79
2004-10,78
2004-11,77
2004-12,92
2005-01,86
2005-02,81
2005-03,78
2005-04,75
2005-05,79
2005-06,82
2005-07,85
2005-08,90
2005-09,82
2005-10,80
2005-11,79
2005-12,89
2006-01,81
2006-02,81
2006-03,75
2006-04,75
2006-05,78
2006-06,82
2006-07,84
2006-08,87
2006-09,78
2006-10,75
2006-11,75
2006-12,82
2007-01,81
2007-02,72
2007-03,70
2007-04,72
2007-05,70
2007-06,83
2007-07,85
2007-08,79
2007-09,74
2007-10,74
2007-11,73
2007-12,82
2008-01,73
2008-02,70
2008-03,68
2008-04,65
2008-05,71
2008-06,77
2008-07,86
2008-08,81
2008-09,76
2008-10,79
2008-11,80
2008-12,79
2009-01,69
2009-02,68
2009-03,68
2009-04,68
2009-05,69
2009-06,77
2009-07,72
2009-08,71
2009-09,66
2009-10,67
2009-11,68
2009-12,70
2010-01,65
2010-02,63
2010-03,63
2010-04,65
2010-05,63
2010-06,75
2010-07,94
2010-08,100
2010-09,89
2010-10,82
2010-11,82
2010-12,88
2011-01,91
2011-02,89
2011-03,85
2011-04,84
2011-05,80
2011-06,84
2011-07,87
2011-08,88
2011-09,84
2011-10,94
2011-11,84
2011-12,88
2012-01,79
2012-02,76
2012-03,73
2012-04,72
2012-05,71
2012-06,72
2012-07,77
2012-08,79
2012-09,97
2012-10,73
2012-11,74
2012-12,78
2013-01,69
2013-02,67
2013-03,64
2013-04,61
2013-05,62
2013-06,63
2013-07,63
2013-08,64
2013-09,68
2013-10,59
2013-11,59
2013-12,61
2014-01,54
2014-02,54
2014-03,52
2014-04,51
2014-05,50
2014-06,53
2014-07,52
2014-08,55
2014-09,76
2014-10,56
2014-11,54
2014-12,56
2015-01,49
2015-02,49
2015-03,47
2015-04,46
2015-05,43
2015-06,44
2015-07,42
2015-08,42
2015-09,43
2015-10,41
2015-11,43
2015-12,45
2016-01,47
2016-02,47
2016-03,49
2016-04,47
2016-05,46
2016-06,46
2016-07,52
2016-08,52
2016-09,64
2016-10,51
2016-11,51
2016-12,54
2017-01,50
2017-02,49
2017-03,50
2017-04,48
2017-05,49
2017-06,50
2017-07,49
2017-08,49
2017-09,59
2017-10,52
2017-11,55
2017-12,55
2018-01,46
2018-02,45
2018-03,45
2018-04,43
2018-05,43
2018-06,42
2018-07,44
2018-08,44
2018-09,46
2018-10,43
2018-11,45
2018-12,47
2019-01,43
2019-02,43
