Category: Movies

Month,Geo: United States
2004-01,99
2004-02,95
2004-03,91
2004-04,92
2004-05,93
2004-06,88
2004-07,93
2004-08,87
2004-09,82
2004-10,90
2004-11,92
2004-12,89
2005-01,92
2005-02,90
2005-03,88
2005-04,86
2005-05,100
2005-06,84
2005-07,91
2005-08,87
2005-09,80
2005-10,86
2005-11,86
2005-12,96
2006-01,90
2006-02,83
2006-03,83
2006-04,78
2006-05,78
2006-06,81
2006-07,88
2006-08,84
2006-09,75
2006-10,79
2006-11,78
2006-12,84
2007-01,80
2007-02,77
2007-03,74
2007-04,79
2007-05,74
2007-06,75
2007-07,84
2007-08,79
2007-09,74
2007-10,75
2007-11,75
2007-12,86
2008-01,85
2008-02,77
2008-03,73
2008-04,72
2008-05,72
2008-06,74
2008-07,77
2008-08,72
2008-09,66
2008-10,72
2008-11,77
2008-12,79
2009-01,77
2009-02,71
2009-03,68
2009-04,69
2009-05,65
2009-06,65
2009-07,67
2009-08,66
2009-09,59
2009-10,62
2009-11,65
2009-12,64
2010-01,60
2010-02,60
2010-03,57
2010-04,56
2010-05,59
2010-06,57
2010-07,66
2010-08,60
2010-09,55
2010-10,59
2010-11,58
2010-12,63
2011-01,73
2011-02,69
2011-03,66
2011-04,69
2011-05,69
2011-06,68
2011-07,77
2011-08,73
2011-09,67
2011-10,73
2011-11,75
2011-12,76
2012-01,72
2012-02,72
2012-03,68
2012-04,69
2012-05,69
2012-06,72
2012-07,78
2012-08,70
2012-09,69
2012-10,68
2012-11,71
2012-12,76
2013-01,72
2013-02,71
2013-03,67
2013-04,65
2013-05,66
2013-06,68
2013-07,70
2013-08,69
2013-09,64
2013-10,66
2013-11,64
2013-12,73
2014-01,69
2014-02,65
2014-03,67
2014-04,66
2014-05,60
2014-06,59
2014-07,63
2014-08,68
2014-09,57
2014-10,63
2014-11,61
2014-12,64
2015-01,61
2015-02,60
2015-03,56
2015-04,56
2015-05,54
2015-06,53
2015-07,54
2015-08,55
2015-09,51
2015-10,58
2015-11,56
2015-12,69
2016-01,76
2016-02,68
2016-03,65
2016-04,64
2016-05,65
2016-06,64
2016-07,69
2016-08,65
2016-09,64
2016-10,69
2016-11,65
2016-12,76
2017-01,70
2017-02,67
2017-03,70
2017-04,65
2017-05,67
2017-06,63
2017-07,66
2017-08,64
2017-09,62
2017-10,65
2017-11,63
2017-12,74
2018-01,65
2018-02,63
2018-03,61
2018-04,62
2018-05,62
2018-06,62
2018-07,63
2018-08,56
2018-09,60
2018-10,61
2018-11,61
2018-12,66
2019-01,62
2019-02,58
