Category: Newspapers

Month,Geo: United States
2004-01,93
2004-02,93
2004-03,91
2004-04,93
2004-05,89
2004-06,88
2004-07,90
2004-08,98
2004-09,100
2004-10,97
2004-11,87
2004-12,78
2005-01,84
2005-02,82
2005-03,79
2005-04,79
2005-05,78
2005-06,79
2005-07,81
2005-08,91
2005-09,91
2005-10,87
2005-11,77
2005-12,73
2006-01,81
2006-02,76
2006-03,78
2006-04,77
2006-05,73
2006-06,78
2006-07,82
2006-08,82
2006-09,79
2006-10,80
2006-11,75
2006-12,70
2007-01,77
2007-02,76
2007-03,71
2007-04,76
2007-05,69
2007-06,70
2007-07,72
2007-08,76
2007-09,72
2007-10,78
2007-11,67
2007-12,67
2008-01,73
2008-02,71
2008-03,71
2008-04,69
2008-05,68
2008-06,66
2008-07,67
2008-08,69
2008-09,76
2008-10,76
2008-11,69
2008-12,64
2009-01,66
2009-02,66
2009-03,64
2009-04,64
2009-05,62
2009-06,61
2009-07,61
2009-08,64
2009-09,62
2009-10,61
2009-11,56
2009-12,57
2010-01,59
2010-02,58
2010-03,58
2010-04,59
2010-05,56
2010-06,58
2010-07,57
2010-08,59
2010-09,59
2010-10,59
2010-11,55
2010-12,55
2011-01,57
2011-02,56
2011-03,55
2011-04,56
2011-05,56
2011-06,55
2011-07,55
2011-08,58
2011-09,56
2011-10,54
2011-11,52
2011-12,51
2012-01,54
2012-02,54
2012-03,52
2012-04,52
2012-05,51
2012-06,50
2012-07,52
2012-08,51
2012-09,53
2012-10,54
2012-11,54
2012-12,54
2013-01,52
2013-02,52
2013-03,51
2013-04,54
2013-05,49
2013-06,47
2013-07,51
2013-08,48
2013-09,47
2013-10,48
2013-11,43
2013-12,43
2014-01,43
2014-02,42
2014-03,44
2014-04,41
2014-05,42
2014-06,41
2014-07,42
2014-08,41
2014-09,42
2014-10,41
2014-11,39
2014-12,38
2015-01,39
2015-02,39
2015-03,38
2015-04,37
2015-05,33
2015-06,32
2015-07,31
2015-08,31
2015-09,31
2015-10,31
2015-11,32
2015-12,32
2016-01,34
2016-02,35
2016-03,35
2016-04,34
2016-05,34
2016-06,35
2016-07,36
2016-08,37
2016-09,35
2016-10,35
2016-11,36
2016-12,33
2017-01,37
2017-02,36
2017-03,35
2017-04,33
2017-05,34
2017-06,34
2017-07,33
2017-08,35
2017-09,33
2017-10,35
2017-11,32
2017-12,33
2018-01,32
2018-02,32
2018-03,31
2018-04,31
2018-05,31
2018-06,29
2018-07,30
2018-08,31
2018-09,32
2018-10,29
2018-11,29
2018-12,28
2019-01,29
2019-02,29
