Category: Non-Alcoholic Beverages

Month,Geo: United States
2004-01,76
2004-02,74
2004-03,73
2004-04,75
2004-05,72
2004-06,72
2004-07,72
2004-08,71
2004-09,67
2004-10,69
2004-11,74
2004-12,82
2005-01,75
2005-02,78
2005-03,73
2005-04,76
2005-05,75
2005-06,75
2005-07,75
2005-08,75
2005-09,71
2005-10,75
2005-11,78
2005-12,83
2006-01,78
2006-02,76
2006-03,80
2006-04,80
2006-05,76
2006-06,79
2006-07,81
2006-08,87
2006-09,82
2006-10,80
2006-11,80
2006-12,86
2007-01,82
2007-02,79
2007-03,77
2007-04,78
2007-05,78
2007-06,76
2007-07,78
2007-08,76
2007-09,74
2007-10,73
2007-11,72
2007-12,78
2008-01,75
2008-02,74
2008-03,67
2008-04,76
2008-05,69
2008-06,69
2008-07,67
2008-08,64
2008-09,61
2008-10,63
2008-11,64
2008-12,65
2009-01,59
2009-02,59
2009-03,57
2009-04,61
2009-05,54
2009-06,51
2009-07,52
2009-08,51
2009-09,49
2009-10,49
2009-11,49
2009-12,54
2010-01,49
2010-02,49
2010-03,49
2010-04,50
2010-05,49
2010-06,47
2010-07,52
2010-08,52
2010-09,50
2010-10,49
2010-11,54
2010-12,56
2011-01,68
2011-02,64
2011-03,64
2011-04,66
2011-05,67
2011-06,67
2011-07,69
2011-08,69
2011-09,68
2011-10,69
2011-11,72
2011-12,77
2012-01,75
2012-02,73
2012-03,70
2012-04,71
2012-05,74
2012-06,71
2012-07,74
2012-08,71
2012-09,74
2012-10,75
2012-11,72
2012-12,78
2013-01,74
2013-02,72
2013-03,73
2013-04,72
2013-05,73
2013-06,70
2013-07,71
2013-08,70
2013-09,65
2013-10,63
2013-11,67
2013-12,70
2014-01,67
2014-02,67
2014-03,68
2014-04,65
2014-05,65
2014-06,62
2014-07,67
2014-08,63
2014-09,62
2014-10,61
2014-11,62
2014-12,68
2015-01,67
2015-02,61
2015-03,61
2015-04,61
2015-05,59
2015-06,60
2015-07,60
2015-08,58
2015-09,59
2015-10,58
2015-11,65
2015-12,65
2016-01,80
2016-02,75
2016-03,78
2016-04,82
2016-05,80
2016-06,81
2016-07,84
2016-08,81
2016-09,83
2016-10,82
2016-11,87
2016-12,98
2017-01,87
2017-02,81
2017-03,86
2017-04,100
2017-05,89
2017-06,90
2017-07,88
2017-08,86
2017-09,86
2017-10,82
2017-11,85
2017-12,95
2018-01,89
2018-02,85
2018-03,85
2018-04,89
2018-05,88
2018-06,86
2018-07,90
2018-08,89
2018-09,83
2018-10,82
2018-11,91
2018-12,96
2019-01,93
2019-02,91
