Category: Oil & Gas

Month,Geo: United States
2004-01,75
2004-02,80
2004-03,78
2004-04,82
2004-05,82
2004-06,79
2004-07,75
2004-08,80
2004-09,75
2004-10,78
2004-11,71
2004-12,70
2005-01,70
2005-02,74
2005-03,79
2005-04,78
2005-05,75
2005-06,73
2005-07,78
2005-08,92
2005-09,100
2005-10,84
2005-11,75
2005-12,69
2006-01,73
2006-02,77
2006-03,73
2006-04,84
2006-05,75
2006-06,73
2006-07,74
2006-08,78
2006-09,75
2006-10,67
2006-11,61
2006-12,59
2007-01,64
2007-02,62
2007-03,61
2007-04,64
2007-05,66
2007-06,60
2007-07,64
2007-08,63
2007-09,57
2007-10,60
2007-11,60
2007-12,55
2008-01,59
2008-02,61
2008-03,61
2008-04,67
2008-05,69
2008-06,74
2008-07,73
2008-08,66
2008-09,71
2008-10,64
2008-11,53
2008-12,49
2009-01,50
2009-02,50
2009-03,48
2009-04,48
2009-05,45
2009-06,44
2009-07,44
2009-08,44
2009-09,45
2009-10,44
2009-11,40
2009-12,41
2010-01,41
2010-02,41
2010-03,43
2010-04,47
2010-05,59
2010-06,66
2010-07,54
2010-08,46
2010-09,45
2010-10,42
2010-11,42
2010-12,42
2011-01,49
2011-02,53
2011-03,53
2011-04,54
2011-05,50
2011-06,50
2011-07,51
2011-08,52
2011-09,49
2011-10,50
2011-11,50
2011-12,51
2012-01,52
2012-02,53
2012-03,53
2012-04,52
2012-05,52
2012-06,51
2012-07,52
2012-08,51
2012-09,50
2012-10,51
2012-11,56
2012-12,46
2013-01,48
2013-02,50
2013-03,48
2013-04,61
2013-05,49
2013-06,49
2013-07,51
2013-08,50
2013-09,46
2013-10,47
2013-11,44
2013-12,46
2014-01,47
2014-02,47
2014-03,47
2014-04,48
2014-05,47
2014-06,46
2014-07,47
2014-08,46
2014-09,45
2014-10,46
2014-11,44
2014-12,47
2015-01,46
2015-02,47
2015-03,43
2015-04,42
2015-05,40
2015-06,40
2015-07,41
2015-08,43
2015-09,40
2015-10,40
2015-11,37
2015-12,41
2016-01,50
2016-02,52
2016-03,51
2016-04,53
2016-05,52
2016-06,53
2016-07,55
2016-08,54
2016-09,59
2016-10,54
2016-11,52
2016-12,56
2017-01,54
2017-02,52
2017-03,55
2017-04,54
2017-05,54
2017-06,59
2017-07,58
2017-08,59
2017-09,81
2017-10,55
2017-11,53
2017-12,55
2018-01,56
2018-02,52
2018-03,54
2018-04,55
2018-05,58
2018-06,58
2018-07,57
2018-08,59
2018-09,54
2018-10,54
2018-11,53
2018-12,56
2019-01,55
2019-02,62
