Category: Real Estate

Month,Geo: United States
2004-01,93
2004-02,93
2004-03,95
2004-04,98
2004-05,94
2004-06,97
2004-07,100
2004-08,100
2004-09,85
2004-10,77
2004-11,71
2004-12,71
2005-01,94
2005-02,93
2005-03,94
2005-04,93
2005-05,94
2005-06,94
2005-07,100
2005-08,97
2005-09,82
2005-10,81
2005-11,73
2005-12,69
2006-01,90
2006-02,90
2006-03,92
2006-04,92
2006-05,89
2006-06,92
2006-07,98
2006-08,94
2006-09,81
2006-10,75
2006-11,66
2006-12,67
2007-01,86
2007-02,83
2007-03,85
2007-04,89
2007-05,80
2007-06,80
2007-07,88
2007-08,81
2007-09,69
2007-10,67
2007-11,58
2007-12,58
2008-01,75
2008-02,73
2008-03,71
2008-04,73
2008-05,68
2008-06,70
2008-07,72
2008-08,66
2008-09,58
2008-10,54
2008-11,48
2008-12,49
2009-01,58
2009-02,57
2009-03,58
2009-04,58
2009-05,56
2009-06,55
2009-07,56
2009-08,55
2009-09,49
2009-10,46
2009-11,42
2009-12,40
2010-01,49
2010-02,49
2010-03,49
2010-04,49
2010-05,47
2010-06,48
2010-07,53
2010-08,52
2010-09,44
2010-10,42
2010-11,38
2010-12,37
2011-01,56
2011-02,55
2011-03,56
2011-04,58
2011-05,57
2011-06,60
2011-07,62
2011-08,60
2011-09,51
2011-10,49
2011-11,45
2011-12,46
2012-01,57
2012-02,56
2012-03,57
2012-04,58
2012-05,57
2012-06,59
2012-07,61
2012-08,57
2012-09,52
2012-10,48
2012-11,44
2012-12,45
2013-01,54
2013-02,54
2013-03,55
2013-04,55
2013-05,56
2013-06,57
2013-07,61
2013-08,57
2013-09,50
2013-10,46
2013-11,44
2013-12,42
2014-01,51
2014-02,50
2014-03,53
2014-04,53
2014-05,52
2014-06,53
2014-07,55
2014-08,51
2014-09,47
2014-10,43
2014-11,40
2014-12,39
2015-01,47
2015-02,47
2015-03,47
2015-04,48
2015-05,45
2015-06,48
2015-07,50
2015-08,47
2015-09,42
2015-10,40
2015-11,36
2015-12,38
2016-01,61
2016-02,63
2016-03,64
2016-04,65
2016-05,65
2016-06,67
2016-07,70
2016-08,67
2016-09,59
2016-10,57
2016-11,53
2016-12,53
2017-01,62
2017-02,62
2017-03,66
2017-04,66
2017-05,66
2017-06,69
2017-07,71
2017-08,67
2017-09,61
2017-10,59
2017-11,54
2017-12,53
2018-01,60
2018-02,65
2018-03,63
2018-04,65
2018-05,63
2018-06,65
2018-07,67
2018-08,63
2018-09,56
2018-10,55
2018-11,51
2018-12,51
2019-01,61
2019-02,61
