Category: Real Estate Agencies

Month,Geo: United States
2004-01,89
2004-02,90
2004-03,91
2004-04,100
2004-05,90
2004-06,94
2004-07,95
2004-08,93
2004-09,88
2004-10,75
2004-11,69
2004-12,67
2005-01,84
2005-02,80
2005-03,81
2005-04,81
2005-05,81
2005-06,81
2005-07,86
2005-08,86
2005-09,72
2005-10,69
2005-11,63
2005-12,59
2006-01,74
2006-02,75
2006-03,76
2006-04,76
2006-05,75
2006-06,77
2006-07,81
2006-08,80
2006-09,69
2006-10,65
2006-11,58
2006-12,56
2007-01,67
2007-02,68
2007-03,67
2007-04,70
2007-05,67
2007-06,68
2007-07,72
2007-08,67
2007-09,58
2007-10,54
2007-11,50
2007-12,48
2008-01,58
2008-02,58
2008-03,56
2008-04,56
2008-05,55
2008-06,53
2008-07,57
2008-08,52
2008-09,48
2008-10,45
2008-11,37
2008-12,38
2009-01,43
2009-02,45
2009-03,45
2009-04,45
2009-05,42
2009-06,45
2009-07,46
2009-08,44
2009-09,39
2009-10,36
2009-11,35
2009-12,33
2010-01,38
2010-02,38
2010-03,40
2010-04,40
2010-05,39
2010-06,41
2010-07,41
2010-08,41
2010-09,37
2010-10,34
2010-11,32
2010-12,30
2011-01,36
2011-02,37
2011-03,39
2011-04,42
2011-05,40
2011-06,42
2011-07,41
2011-08,40
2011-09,34
2011-10,33
2011-11,31
2011-12,31
2012-01,35
2012-02,36
2012-03,37
2012-04,39
2012-05,39
2012-06,40
2012-07,39
2012-08,37
2012-09,34
2012-10,32
2012-11,29
2012-12,29
2013-01,34
2013-02,34
2013-03,35
2013-04,35
2013-05,36
2013-06,36
2013-07,36
2013-08,34
2013-09,31
2013-10,29
2013-11,27
2013-12,26
2014-01,29
2014-02,29
2014-03,31
2014-04,32
2014-05,33
2014-06,35
2014-07,35
2014-08,33
2014-09,29
2014-10,28
2014-11,25
2014-12,25
2015-01,29
2015-02,34
2015-03,29
2015-04,30
2015-05,28
2015-06,29
2015-07,28
2015-08,28
2015-09,25
2015-10,23
2015-11,24
2015-12,24
2016-01,33
2016-02,38
2016-03,40
2016-04,37
2016-05,38
2016-06,41
2016-07,42
2016-08,38
2016-09,34
2016-10,33
2016-11,30
2016-12,30
2017-01,32
2017-02,34
2017-03,35
2017-04,34
2017-05,34
2017-06,38
2017-07,36
2017-08,36
2017-09,33
2017-10,31
2017-11,30
2017-12,29
2018-01,30
2018-02,31
2018-03,32
2018-04,33
2018-05,34
2018-06,33
2018-07,34
2018-08,32
2018-09,29
2018-10,28
2018-11,25
2018-12,26
2019-01,29
2019-02,31
