Category: Restaurants

Month,Geo: United States
2004-01,60
2004-02,65
2004-03,58
2004-04,61
2004-05,59
2004-06,58
2004-07,61
2004-08,60
2004-09,56
2004-10,57
2004-11,54
2004-12,63
2005-01,61
2005-02,66
2005-03,61
2005-04,63
2005-05,62
2005-06,62
2005-07,64
2005-08,66
2005-09,60
2005-10,63
2005-11,60
2005-12,66
2006-01,66
2006-02,68
2006-03,64
2006-04,64
2006-05,62
2006-06,65
2006-07,68
2006-08,68
2006-09,62
2006-10,63
2006-11,61
2006-12,67
2007-01,64
2007-02,68
2007-03,62
2007-04,64
2007-05,62
2007-06,62
2007-07,65
2007-08,65
2007-09,58
2007-10,60
2007-11,57
2007-12,61
2008-01,60
2008-02,62
2008-03,57
2008-04,57
2008-05,58
2008-06,55
2008-07,57
2008-08,57
2008-09,52
2008-10,52
2008-11,50
2008-12,50
2009-01,52
2009-02,52
2009-03,49
2009-04,49
2009-05,48
2009-06,46
2009-07,48
2009-08,48
2009-09,43
2009-10,43
2009-11,42
2009-12,42
2010-01,45
2010-02,46
2010-03,43
2010-04,43
2010-05,42
2010-06,43
2010-07,53
2010-08,53
2010-09,49
2010-10,49
2010-11,46
2010-12,49
2011-01,66
2011-02,67
2011-03,66
2011-04,68
2011-05,67
2011-06,71
2011-07,76
2011-08,72
2011-09,67
2011-10,68
2011-11,65
2011-12,74
2012-01,72
2012-02,73
2012-03,71
2012-04,71
2012-05,69
2012-06,74
2012-07,76
2012-08,75
2012-09,69
2012-10,65
2012-11,63
2012-12,69
2013-01,69
2013-02,69
2013-03,71
2013-04,66
2013-05,66
2013-06,70
2013-07,70
2013-08,68
2013-09,62
2013-10,61
2013-11,61
2013-12,63
2014-01,61
2014-02,63
2014-03,64
2014-04,63
2014-05,61
2014-06,59
2014-07,62
2014-08,62
2014-09,57
2014-10,57
2014-11,55
2014-12,56
2015-01,54
2015-02,58
2015-03,54
2015-04,54
2015-05,53
2015-06,54
2015-07,59
2015-08,56
2015-09,52
2015-10,52
2015-11,50
2015-12,55
2016-01,77
2016-02,80
2016-03,82
2016-04,84
2016-05,84
2016-06,86
2016-07,95
2016-08,87
2016-09,83
2016-10,82
2016-11,80
2016-12,88
2017-01,84
2017-02,89
2017-03,90
2017-04,91
2017-05,92
2017-06,97
2017-07,100
2017-08,94
2017-09,89
2017-10,88
2017-11,82
2017-12,92
2018-01,86
2018-02,91
2018-03,91
2018-04,92
2018-05,92
2018-06,96
2018-07,99
2018-08,94
2018-09,86
2018-10,84
2018-11,86
2018-12,96
2019-01,92
2019-02,96
