Category: Retirement & Pension

Month,Geo: United States
2004-01,100
2004-02,98
2004-03,94
2004-04,96
2004-05,78
2004-06,75
2004-07,79
2004-08,82
2004-09,76
2004-10,74
2004-11,76
2004-12,88
2005-01,98
2005-02,100
2005-03,98
2005-04,85
2005-05,76
2005-06,77
2005-07,79
2005-08,81
2005-09,72
2005-10,75
2005-11,75
2005-12,84
2006-01,98
2006-02,88
2006-03,90
2006-04,92
2006-05,73
2006-06,70
2006-07,72
2006-08,77
2006-09,68
2006-10,74
2006-11,70
2006-12,80
2007-01,89
2007-02,83
2007-03,77
2007-04,87
2007-05,63
2007-06,65
2007-07,72
2007-08,69
2007-09,68
2007-10,72
2007-11,65
2007-12,72
2008-01,84
2008-02,77
2008-03,75
2008-04,76
2008-05,57
2008-06,56
2008-07,64
2008-08,56
2008-09,76
2008-10,70
2008-11,56
2008-12,59
2009-01,63
2009-02,65
2009-03,64
2009-04,63
2009-05,49
2009-06,51
2009-07,53
2009-08,54
2009-09,52
2009-10,53
2009-11,51
2009-12,54
2010-01,61
2010-02,60
2010-03,63
2010-04,63
2010-05,47
2010-06,49
2010-07,48
2010-08,48
2010-09,45
2010-10,47
2010-11,46
2010-12,49
2011-01,55
2011-02,56
2011-03,55
2011-04,57
2011-05,41
2011-06,42
2011-07,42
2011-08,43
2011-09,39
2011-10,41
2011-11,40
2011-12,44
2012-01,50
2012-02,51
2012-03,49
2012-04,49
2012-05,39
2012-06,39
2012-07,40
2012-08,41
2012-09,40
2012-10,42
2012-11,41
2012-12,42
2013-01,50
2013-02,49
2013-03,49
2013-04,48
2013-05,39
2013-06,37
2013-07,39
2013-08,38
2013-09,38
2013-10,41
2013-11,39
2013-12,43
2014-01,48
2014-02,46
2014-03,47
2014-04,47
2014-05,35
2014-06,36
2014-07,37
2014-08,37
2014-09,37
2014-10,39
2014-11,38
2014-12,41
2015-01,44
2015-02,45
2015-03,44
2015-04,44
2015-05,33
2015-06,34
2015-07,34
2015-08,36
2015-09,33
2015-10,35
2015-11,35
2015-12,37
2016-01,46
2016-02,47
2016-03,48
2016-04,48
2016-05,38
2016-06,41
2016-07,39
2016-08,41
2016-09,41
2016-10,42
2016-11,40
2016-12,45
2017-01,50
2017-02,51
2017-03,52
2017-04,51
2017-05,42
2017-06,41
2017-07,42
2017-08,44
2017-09,42
2017-10,47
2017-11,47
2017-12,48
2018-01,56
2018-02,52
2018-03,50
2018-04,51
2018-05,41
2018-06,41
2018-07,42
2018-08,44
2018-09,41
2018-10,44
2018-11,43
2018-12,48
2019-01,54
2019-02,65
