Category: Social Services

Month,Geo: United States
2004-01,100
2004-02,99
2004-03,93
2004-04,96
2004-05,87
2004-06,87
2004-07,87
2004-08,90
2004-09,91
2004-10,92
2004-11,86
2004-12,83
2005-01,93
2005-02,92
2005-03,87
2005-04,86
2005-05,81
2005-06,79
2005-07,80
2005-08,83
2005-09,93
2005-10,88
2005-11,82
2005-12,76
2006-01,85
2006-02,82
2006-03,81
2006-04,80
2006-05,74
2006-06,75
2006-07,75
2006-08,77
2006-09,77
2006-10,79
2006-11,75
2006-12,71
2007-01,78
2007-02,76
2007-03,72
2007-04,76
2007-05,69
2007-06,65
2007-07,71
2007-08,70
2007-09,69
2007-10,72
2007-11,71
2007-12,68
2008-01,72
2008-02,70
2008-03,66
2008-04,71
2008-05,63
2008-06,62
2008-07,67
2008-08,65
2008-09,70
2008-10,73
2008-11,70
2008-12,72
2009-01,77
2009-02,77
2009-03,75
2009-04,75
2009-05,67
2009-06,66
2009-07,68
2009-08,71
2009-09,70
2009-10,71
2009-11,70
2009-12,66
2010-01,70
2010-02,68
2010-03,71
2010-04,67
2010-05,60
2010-06,67
2010-07,76
2010-08,66
2010-09,62
2010-10,62
2010-11,62
2010-12,65
2011-01,79
2011-02,74
2011-03,70
2011-04,72
2011-05,69
2011-06,68
2011-07,70
2011-08,72
2011-09,72
2011-10,72
2011-11,70
2011-12,72
2012-01,76
2012-02,73
2012-03,67
2012-04,69
2012-05,66
2012-06,65
2012-07,69
2012-08,68
2012-09,71
2012-10,67
2012-11,68
2012-12,65
2013-01,73
2013-02,69
2013-03,66
2013-04,67
2013-05,61
2013-06,60
2013-07,62
2013-08,63
2013-09,63
2013-10,68
2013-11,60
2013-12,59
2014-01,68
2014-02,63
2014-03,62
2014-04,63
2014-05,55
2014-06,51
2014-07,52
2014-08,51
2014-09,53
2014-10,53
2014-11,48
2014-12,48
2015-01,48
2015-02,48
2015-03,47
2015-04,48
2015-05,43
2015-06,43
2015-07,45
2015-08,44
2015-09,46
2015-10,46
2015-11,44
2015-12,44
2016-01,58
2016-02,60
2016-03,58
2016-04,59
2016-05,55
2016-06,55
2016-07,56
2016-08,60
2016-09,60
2016-10,59
2016-11,59
2016-12,57
2017-01,64
2017-02,62
2017-03,60
2017-04,59
2017-05,59
2017-06,59
2017-07,57
2017-08,61
2017-09,62
2017-10,62
2017-11,58
2017-12,56
2018-01,62
2018-02,61
2018-03,58
2018-04,60
2018-05,57
2018-06,56
2018-07,56
2018-08,59
2018-09,58
2018-10,61
2018-11,58
2018-12,56
2019-01,65
2019-02,68
