Category: Ticket Sales

Month,Geo: United States
2004-01,73
2004-02,82
2004-03,87
2004-04,94
2004-05,90
2004-06,99
2004-07,100
2004-08,88
2004-09,81
2004-10,95
2004-11,66
2004-12,86
2005-01,75
2005-02,74
2005-03,79
2005-04,96
2005-05,90
2005-06,95
2005-07,96
2005-08,90
2005-09,80
2005-10,91
2005-11,74
2005-12,85
2006-01,71
2006-02,69
2006-03,76
2006-04,91
2006-05,86
2006-06,95
2006-07,95
2006-08,93
2006-09,78
2006-10,75
2006-11,70
2006-12,76
2007-01,65
2007-02,70
2007-03,79
2007-04,86
2007-05,80
2007-06,82
2007-07,88
2007-08,89
2007-09,77
2007-10,78
2007-11,66
2007-12,73
2008-01,58
2008-02,67
2008-03,69
2008-04,78
2008-05,72
2008-06,76
2008-07,80
2008-08,71
2008-09,64
2008-10,61
2008-11,62
2008-12,85
2009-01,65
2009-02,60
2009-03,69
2009-04,73
2009-05,69
2009-06,68
2009-07,72
2009-08,65
2009-09,54
2009-10,59
2009-11,52
2009-12,53
2010-01,46
2010-02,49
2010-03,54
2010-04,57
2010-05,53
2010-06,57
2010-07,65
2010-08,62
2010-09,57
2010-10,54
2010-11,51
2010-12,54
2011-01,54
2011-02,56
2011-03,62
2011-04,69
2011-05,63
2011-06,66
2011-07,68
2011-08,63
2011-09,59
2011-10,55
2011-11,55
2011-12,61
2012-01,54
2012-02,55
2012-03,60
2012-04,71
2012-05,63
2012-06,67
2012-07,62
2012-08,60
2012-09,60
2012-10,55
2012-11,55
2012-12,55
2013-01,50
2013-02,55
2013-03,58
2013-04,67
2013-05,62
2013-06,62
2013-07,65
2013-08,63
2013-09,59
2013-10,53
2013-11,53
2013-12,55
2014-01,49
2014-02,49
2014-03,55
2014-04,61
2014-05,55
2014-06,55
2014-07,56
2014-08,57
2014-09,53
2014-10,51
2014-11,47
2014-12,45
2015-01,41
2015-02,44
2015-03,44
2015-04,56
2015-05,47
2015-06,48
2015-07,49
2015-08,50
2015-09,43
2015-10,56
2015-11,42
2015-12,43
2016-01,48
2016-02,53
2016-03,51
2016-04,69
2016-05,64
2016-06,67
2016-07,65
2016-08,57
2016-09,59
2016-10,68
2016-11,52
2016-12,52
2017-01,48
2017-02,54
2017-03,63
2017-04,72
2017-05,63
2017-06,66
2017-07,63
2017-08,62
2017-09,59
2017-10,75
2017-11,51
2017-12,50
2018-01,53
2018-02,58
2018-03,62
2018-04,63
2018-05,62
2018-06,61
2018-07,60
2018-08,59
2018-09,57
2018-10,66
2018-11,48
2018-12,47
2019-01,44
2019-02,49
