Category: Tobacco Products

Month,Geo: United States
2004-01,96
2004-02,93
2004-03,94
2004-04,100
2004-05,91
2004-06,86
2004-07,89
2004-08,88
2004-09,82
2004-10,93
2004-11,88
2004-12,96
2005-01,90
2005-02,86
2005-03,84
2005-04,85
2005-05,78
2005-06,73
2005-07,77
2005-08,80
2005-09,79
2005-10,81
2005-11,76
2005-12,75
2006-01,71
2006-02,76
2006-03,72
2006-04,71
2006-05,69
2006-06,67
2006-07,67
2006-08,69
2006-09,71
2006-10,68
2006-11,65
2006-12,73
2007-01,65
2007-02,65
2007-03,61
2007-04,65
2007-05,60
2007-06,55
2007-07,63
2007-08,60
2007-09,59
2007-10,57
2007-11,56
2007-12,60
2008-01,55
2008-02,56
2008-03,53
2008-04,58
2008-05,53
2008-06,53
2008-07,53
2008-08,54
2008-09,53
2008-10,54
2008-11,50
2008-12,50
2009-01,49
2009-02,50
2009-03,60
2009-04,61
2009-05,48
2009-06,50
2009-07,49
2009-08,47
2009-09,49
2009-10,46
2009-11,44
2009-12,44
2010-01,42
2010-02,42
2010-03,43
2010-04,44
2010-05,42
2010-06,42
2010-07,49
2010-08,47
2010-09,47
2010-10,45
2010-11,44
2010-12,44
2011-01,56
2011-02,55
2011-03,58
2011-04,59
2011-05,56
2011-06,60
2011-07,62
2011-08,64
2011-09,60
2011-10,57
2011-11,54
2011-12,58
2012-01,55
2012-02,57
2012-03,56
2012-04,59
2012-05,56
2012-06,57
2012-07,58
2012-08,59
2012-09,58
2012-10,54
2012-11,53
2012-12,60
2013-01,59
2013-02,58
2013-03,60
2013-04,61
2013-05,60
2013-06,62
2013-07,63
2013-08,63
2013-09,59
2013-10,55
2013-11,57
2013-12,57
2014-01,56
2014-02,56
2014-03,54
2014-04,54
2014-05,50
2014-06,51
2014-07,53
2014-08,50
2014-09,48
2014-10,47
2014-11,47
2014-12,49
2015-01,44
2015-02,46
2015-03,43
2015-04,42
2015-05,41
2015-06,43
2015-07,43
2015-08,45
2015-09,41
2015-10,41
2015-11,40
2015-12,41
2016-01,50
2016-02,52
2016-03,53
2016-04,53
2016-05,53
2016-06,51
2016-07,56
2016-08,54
2016-09,56
2016-10,54
2016-11,54
2016-12,56
2017-01,53
2017-02,55
2017-03,57
2017-04,59
2017-05,59
2017-06,61
2017-07,63
2017-08,61
2017-09,60
2017-10,59
2017-11,58
2017-12,60
2018-01,55
2018-02,57
2018-03,57
2018-04,62
2018-05,60
2018-06,60
2018-07,62
2018-08,60
2018-09,58
2018-10,58
2018-11,57
2018-12,62
2019-01,59
2019-02,64
