Category: Undergarments

Month,Geo: United States
2004-01,95
2004-02,95
2004-03,90
2004-04,85
2004-05,81
2004-06,83
2004-07,86
2004-08,82
2004-09,74
2004-10,86
2004-11,83
2004-12,100
2005-01,89
2005-02,85
2005-03,83
2005-04,74
2005-05,80
2005-06,77
2005-07,79
2005-08,76
2005-09,73
2005-10,76
2005-11,80
2005-12,99
2006-01,78
2006-02,78
2006-03,74
2006-04,69
2006-05,68
2006-06,72
2006-07,72
2006-08,70
2006-09,66
2006-10,68
2006-11,71
2006-12,90
2007-01,68
2007-02,68
2007-03,69
2007-04,61
2007-05,58
2007-06,60
2007-07,60
2007-08,58
2007-09,54
2007-10,57
2007-11,60
2007-12,75
2008-01,61
2008-02,60
2008-03,57
2008-04,53
2008-05,54
2008-06,54
2008-07,53
2008-08,52
2008-09,47
2008-10,51
2008-11,54
2008-12,68
2009-01,52
2009-02,50
2009-03,48
2009-04,46
2009-05,45
2009-06,43
2009-07,45
2009-08,44
2009-09,41
2009-10,42
2009-11,44
2009-12,56
2010-01,45
2010-02,45
2010-03,42
2010-04,40
2010-05,40
2010-06,39
2010-07,43
2010-08,42
2010-09,38
2010-10,40
2010-11,45
2010-12,56
2011-01,57
2011-02,55
2011-03,50
2011-04,53
2011-05,49
2011-06,51
2011-07,50
2011-08,49
2011-09,48
2011-10,49
2011-11,62
2011-12,71
2012-01,58
2012-02,56
2012-03,50
2012-04,52
2012-05,50
2012-06,53
2012-07,50
2012-08,50
2012-09,47
2012-10,47
2012-11,55
2012-12,67
2013-01,54
2013-02,51
2013-03,48
2013-04,48
2013-05,46
2013-06,49
2013-07,46
2013-08,41
2013-09,41
2013-10,42
2013-11,49
2013-12,59
2014-01,46
2014-02,48
2014-03,47
2014-04,44
2014-05,41
2014-06,45
2014-07,44
2014-08,43
2014-09,40
2014-10,40
2014-11,45
2014-12,57
2015-01,44
2015-02,46
2015-03,40
2015-04,38
2015-05,35
2015-06,39
2015-07,38
2015-08,36
2015-09,33
2015-10,33
2015-11,43
2015-12,51
2016-01,49
2016-02,42
2016-03,42
2016-04,46
2016-05,46
2016-06,50
2016-07,46
2016-08,43
2016-09,44
2016-10,45
2016-11,56
2016-12,61
2017-01,48
2017-02,48
2017-03,47
2017-04,43
2017-05,41
2017-06,45
2017-07,46
2017-08,45
2017-09,42
2017-10,42
2017-11,57
2017-12,62
2018-01,44
2018-02,43
2018-03,40
2018-04,40
2018-05,41
2018-06,43
2018-07,41
2018-08,39
2018-09,38
2018-10,38
2018-11,50
2018-12,57
2019-01,43
2019-02,44
