Category: Vehicle Brands

Month,Geo: United States
2004-01,97
2004-02,94
2004-03,97
2004-04,100
2004-05,92
2004-06,91
2004-07,97
2004-08,95
2004-09,89
2004-10,82
2004-11,79
2004-12,79
2005-01,85
2005-02,87
2005-03,88
2005-04,87
2005-05,86
2005-06,87
2005-07,91
2005-08,93
2005-09,85
2005-10,77
2005-11,73
2005-12,75
2006-01,80
2006-02,80
2006-03,80
2006-04,84
2006-05,79
2006-06,81
2006-07,87
2006-08,84
2006-09,74
2006-10,72
2006-11,66
2006-12,70
2007-01,68
2007-02,69
2007-03,69
2007-04,73
2007-05,70
2007-06,70
2007-07,77
2007-08,73
2007-09,66
2007-10,62
2007-11,61
2007-12,60
2008-01,62
2008-02,62
2008-03,61
2008-04,64
2008-05,61
2008-06,63
2008-07,62
2008-08,61
2008-09,54
2008-10,52
2008-11,49
2008-12,52
2009-01,50
2009-02,51
2009-03,49
2009-04,52
2009-05,53
2009-06,50
2009-07,52
2009-08,52
2009-09,47
2009-10,43
2009-11,41
2009-12,42
2010-01,43
2010-02,46
2010-03,45
2010-04,46
2010-05,44
2010-06,43
2010-07,50
2010-08,51
2010-09,48
2010-10,45
2010-11,44
2010-12,44
2011-01,54
2011-02,56
2011-03,57
2011-04,57
2011-05,56
2011-06,56
2011-07,56
2011-08,59
2011-09,54
2011-10,54
2011-11,50
2011-12,52
2012-01,54
2012-02,57
2012-03,55
2012-04,55
2012-05,54
2012-06,55
2012-07,58
2012-08,58
2012-09,54
2012-10,49
2012-11,47
2012-12,48
2013-01,51
2013-02,52
2013-03,54
2013-04,53
2013-05,52
2013-06,54
2013-07,56
2013-08,57
2013-09,51
2013-10,49
2013-11,47
2013-12,49
2014-01,49
2014-02,51
2014-03,53
2014-04,52
2014-05,49
2014-06,50
2014-07,54
2014-08,51
2014-09,50
2014-10,48
2014-11,44
2014-12,45
2015-01,46
2015-02,46
2015-03,47
2015-04,46
2015-05,45
2015-06,46
2015-07,47
2015-08,48
2015-09,44
2015-10,43
2015-11,41
2015-12,41
2016-01,56
2016-02,60
2016-03,61
2016-04,61
2016-05,59
2016-06,59
2016-07,63
2016-08,64
2016-09,62
2016-10,59
2016-11,56
2016-12,58
2017-01,58
2017-02,61
2017-03,65
2017-04,62
2017-05,61
2017-06,64
2017-07,64
2017-08,65
2017-09,63
2017-10,60
2017-11,55
2017-12,59
2018-01,56
2018-02,61
2018-03,59
2018-04,62
2018-05,62
2018-06,59
2018-07,63
2018-08,62
2018-09,58
2018-10,56
2018-11,55
2018-12,56
2019-01,57
2019-02,58
