Category: Vehicle Shopping

Month,Geo: United States
2004-01,85
2004-02,87
2004-03,88
2004-04,88
2004-05,91
2004-06,84
2004-07,90
2004-08,90
2004-09,79
2004-10,76
2004-11,72
2004-12,74
2005-01,80
2005-02,80
2005-03,83
2005-04,80
2005-05,79
2005-06,81
2005-07,88
2005-08,100
2005-09,87
2005-10,71
2005-11,68
2005-12,67
2006-01,74
2006-02,72
2006-03,74
2006-04,82
2006-05,78
2006-06,80
2006-07,84
2006-08,85
2006-09,73
2006-10,68
2006-11,65
2006-12,63
2007-01,70
2007-02,70
2007-03,69
2007-04,72
2007-05,74
2007-06,69
2007-07,72
2007-08,70
2007-09,62
2007-10,58
2007-11,58
2007-12,56
2008-01,61
2008-02,62
2008-03,64
2008-04,66
2008-05,70
2008-06,66
2008-07,63
2008-08,59
2008-09,55
2008-10,52
2008-11,50
2008-12,51
2009-01,53
2009-02,51
2009-03,51
2009-04,50
2009-05,50
2009-06,49
2009-07,53
2009-08,55
2009-09,43
2009-10,41
2009-11,40
2009-12,41
2010-01,44
2010-02,47
2010-03,45
2010-04,44
2010-05,42
2010-06,43
2010-07,47
2010-08,47
2010-09,43
2010-10,41
2010-11,40
2010-12,41
2011-01,52
2011-02,55
2011-03,55
2011-04,55
2011-05,53
2011-06,53
2011-07,53
2011-08,53
2011-09,49
2011-10,54
2011-11,48
2011-12,49
2012-01,53
2012-02,57
2012-03,54
2012-04,50
2012-05,50
2012-06,52
2012-07,52
2012-08,51
2012-09,52
2012-10,47
2012-11,46
2012-12,46
2013-01,49
2013-02,51
2013-03,50
2013-04,48
2013-05,47
2013-06,48
2013-07,50
2013-08,49
2013-09,45
2013-10,42
2013-11,42
2013-12,41
2014-01,43
2014-02,47
2014-03,45
2014-04,44
2014-05,41
2014-06,40
2014-07,43
2014-08,43
2014-09,40
2014-10,41
2014-11,38
2014-12,38
2015-01,38
2015-02,40
2015-03,38
2015-04,37
2015-05,36
2015-06,35
2015-07,36
2015-08,37
2015-09,33
2015-10,32
2015-11,31
2015-12,32
2016-01,44
2016-02,48
2016-03,46
2016-04,44
2016-05,43
2016-06,45
2016-07,46
2016-08,47
2016-09,43
2016-10,41
2016-11,41
2016-12,41
2017-01,45
2017-02,46
2017-03,46
2017-04,44
2017-05,44
2017-06,46
2017-07,46
2017-08,46
2017-09,45
2017-10,44
2017-11,41
2017-12,41
2018-01,43
2018-02,46
2018-03,44
2018-04,44
2018-05,43
2018-06,43
2018-07,44
2018-08,44
2018-09,40
2018-10,39
2018-11,40
2018-12,41
2019-01,42
2019-02,43
