Category: Waste Management

Month,Geo: United States
2004-01,88
2004-02,85
2004-03,93
2004-04,100
2004-05,90
2004-06,86
2004-07,89
2004-08,85
2004-09,85
2004-10,79
2004-11,78
2004-12,77
2005-01,84
2005-02,80
2005-03,83
2005-04,91
2005-05,87
2005-06,84
2005-07,83
2005-08,84
2005-09,80
2005-10,80
2005-11,76
2005-12,73
2006-01,82
2006-02,74
2006-03,75
2006-04,86
2006-05,83
2006-06,80
2006-07,85
2006-08,82
2006-09,79
2006-10,76
2006-11,73
2006-12,74
2007-01,80
2007-02,74
2007-03,78
2007-04,91
2007-05,87
2007-06,80
2007-07,86
2007-08,80
2007-09,78
2007-10,79
2007-11,80
2007-12,76
2008-01,84
2008-02,75
2008-03,79
2008-04,94
2008-05,91
2008-06,84
2008-07,85
2008-08,79
2008-09,76
2008-10,74
2008-11,70
2008-12,67
2009-01,70
2009-02,64
2009-03,69
2009-04,77
2009-05,70
2009-06,64
2009-07,63
2009-08,63
2009-09,61
2009-10,59
2009-11,58
2009-12,54
2010-01,56
2010-02,57
2010-03,58
2010-04,67
2010-05,60
2010-06,59
2010-07,60
2010-08,56
2010-09,56
2010-10,52
2010-11,53
2010-12,50
2011-01,67
2011-02,61
2011-03,64
2011-04,70
2011-05,69
2011-06,66
2011-07,67
2011-08,64
2011-09,61
2011-10,59
2011-11,59
2011-12,61
2012-01,65
2012-02,59
2012-03,61
2012-04,67
2012-05,66
2012-06,61
2012-07,65
2012-08,60
2012-09,63
2012-10,58
2012-11,58
2012-12,58
2013-01,62
2013-02,54
2013-03,56
2013-04,64
2013-05,62
2013-06,57
2013-07,62
2013-08,58
2013-09,57
2013-10,54
2013-11,55
2013-12,54
2014-01,58
2014-02,53
2014-03,53
2014-04,62
2014-05,60
2014-06,55
2014-07,59
2014-08,53
2014-09,55
2014-10,53
2014-11,50
2014-12,50
2015-01,53
2015-02,49
2015-03,50
2015-04,55
2015-05,51
2015-06,51
2015-07,52
2015-08,51
2015-09,52
2015-10,48
2015-11,49
2015-12,48
2016-01,63
2016-02,62
2016-03,64
2016-04,69
2016-05,69
2016-06,68
2016-07,71
2016-08,67
2016-09,68
2016-10,66
2016-11,68
2016-12,68
2017-01,71
2017-02,67
2017-03,66
2017-04,77
2017-05,76
2017-06,74
2017-07,79
2017-08,72
2017-09,75
2017-10,71
2017-11,69
2017-12,70
2018-01,76
2018-02,68
2018-03,67
2018-04,76
2018-05,80
2018-06,75
2018-07,78
2018-08,71
2018-09,71
2018-10,66
2018-11,71
2018-12,75
2019-01,79
2019-02,85
