Category: Women's Clothing

Month,Geo: United States
2004-01,70
2004-02,74
2004-03,80
2004-04,84
2004-05,79
2004-06,68
2004-07,74
2004-08,75
2004-09,74
2004-10,75
2004-11,75
2004-12,83
2005-01,73
2005-02,78
2005-03,82
2005-04,85
2005-05,80
2005-06,74
2005-07,77
2005-08,80
2005-09,75
2005-10,77
2005-11,78
2005-12,83
2006-01,72
2006-02,77
2006-03,81
2006-04,88
2006-05,81
2006-06,79
2006-07,78
2006-08,81
2006-09,79
2006-10,79
2006-11,76
2006-12,83
2007-01,71
2007-02,76
2007-03,80
2007-04,84
2007-05,76
2007-06,72
2007-07,72
2007-08,72
2007-09,71
2007-10,71
2007-11,73
2007-12,78
2008-01,66
2008-02,68
2008-03,71
2008-04,75
2008-05,72
2008-06,68
2008-07,67
2008-08,67
2008-09,65
2008-10,67
2008-11,63
2008-12,66
2009-01,57
2009-02,59
2009-03,65
2009-04,69
2009-05,65
2009-06,57
2009-07,56
2009-08,58
2009-09,56
2009-10,58
2009-11,55
2009-12,57
2010-01,50
2010-02,54
2010-03,58
2010-04,60
2010-05,57
2010-06,55
2010-07,54
2010-08,56
2010-09,55
2010-10,55
2010-11,55
2010-12,57
2011-01,63
2011-02,68
2011-03,72
2011-04,80
2011-05,75
2011-06,71
2011-07,71
2011-08,70
2011-09,70
2011-10,71
2011-11,75
2011-12,76
2012-01,69
2012-02,76
2012-03,80
2012-04,83
2012-05,81
2012-06,77
2012-07,78
2012-08,79
2012-09,79
2012-10,76
2012-11,79
2012-12,79
2013-01,75
2013-02,78
2013-03,84
2013-04,86
2013-05,85
2013-06,80
2013-07,78
2013-08,75
2013-09,75
2013-10,76
2013-11,79
2013-12,77
2014-01,69
2014-02,72
2014-03,81
2014-04,83
2014-05,79
2014-06,73
2014-07,71
2014-08,68
2014-09,69
2014-10,70
2014-11,69
2014-12,69
2015-01,65
2015-02,90
2015-03,80
2015-04,75
2015-05,70
2015-06,63
2015-07,61
2015-08,60
2015-09,59
2015-10,62
2015-11,64
2015-12,63
2016-01,73
2016-02,81
2016-03,89
2016-04,95
2016-05,88
2016-06,84
2016-07,86
2016-08,82
2016-09,85
2016-10,86
2016-11,85
2016-12,85
2017-01,82
2017-02,86
2017-03,93
2017-04,100
2017-05,97
2017-06,92
2017-07,87
2017-08,86
2017-09,86
2017-10,90
2017-11,86
2017-12,83
2018-01,77
2018-02,82
2018-03,86
2018-04,92
2018-05,99
2018-06,87
2018-07,83
2018-08,77
2018-09,78
2018-10,76
2018-11,80
2018-12,80
2019-01,75
2019-02,80
