"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-01",99.40944,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-02",99.54736,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-03",99.55728,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-04",99.57487,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-05",99.63351,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-06",99.82297,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-07",100.0809,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-08",100.268,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-09",100.2444,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-10",100.0358,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-11",99.86516,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-12",99.77138,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-01",99.85907,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-02",100.0134,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-03",100.1473,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-04",100.188,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-05",100.0318,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-06",99.88129,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-07",99.82108,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-08",99.81766,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-09",99.92098,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-10",100.0915,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-11",100.2732,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-12",100.4961,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-01",100.6418,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-02",100.7406,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-03",100.8344,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-04",100.9134,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-05",101.0863,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-06",101.2993,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-07",101.4002,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-08",101.4815,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-09",101.5673,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-10",101.6295,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-11",101.6074,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-12",101.6365,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-01",101.6651,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-02",101.6105,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-03",101.5415,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-04",101.4951,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-05",101.5371,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-06",101.6496,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-07",101.6449,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-08",101.4584,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-09",101.1534,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-10",100.9753,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-11",100.8813,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-12",100.7887,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-01",100.6424,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-02",100.4551,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-03",100.3034,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-04",100.1451,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-05",100.0149,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-06",99.89177,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-07",99.76767,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-08",99.70012,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-09",99.56613,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-10",99.20032,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-11",98.7756,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-12",98.41114,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-01",98.15646,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-02",97.97687,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-03",97.973,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-04",98.26949,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-05",98.5871,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-06",98.73929,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-07",98.89633,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-08",99.15105,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-09",99.38824,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-10",99.5411,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-11",99.78583,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-12",100.0363,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-01",100.184,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.1912,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.1373,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",100.0354,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",100.0269,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",100.0518,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",100.1568,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",100.2676,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",100.366,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",100.4496,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",100.4774,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",100.4976,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",100.682,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",100.8556,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",100.8506,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-04",100.7198,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-05",100.557,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-06",100.3806,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-07",100.165,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-08",99.73413,
