DATE,RPI
2004-01-01,11673.666
2004-02-01,11688.277
2004-03-01,11730.978
2004-04-01,11777.237
2004-05-01,11844.274
2004-06-01,11858.492
2004-07-01,11898.458
2004-08-01,11944.486
2004-09-01,11959.694
2004-10-01,11970.427
2004-11-01,11945.706
2004-12-01,12354.11
2005-01-01,12029.712
2005-02-01,12040.24
2005-03-01,12080.643
2005-04-01,12122.341
2005-05-01,12179.018
2005-06-01,12212.817
2005-07-01,12222.897
2005-08-01,12241.01
2005-09-01,12202.979
2005-10-01,12293.246
2005-11-01,12396.53
2005-12-01,12463.963
2006-01-01,12615.534
2006-02-01,12671.717
2006-03-01,12704.101
2006-04-01,12708.846
2006-05-01,12701.954
2006-06-01,12730.66
2006-07-01,12715.713
2006-08-01,12709.549
2006-09-01,12795.596
2006-10-01,12870.822
2006-11-01,12933.502
2006-12-01,12998.472
2007-01-01,13033.906
2007-02-01,13096.338
2007-03-01,13147.949
2007-04-01,13151.498
2007-05-01,13144.673
2007-06-01,13127.988
2007-07-01,13134.159
2007-08-01,13137.613
2007-09-01,13165.169
2007-10-01,13139.629
2007-11-01,13127.498
2007-12-01,13177.454
2008-01-01,13188.347
2008-02-01,13195.34
2008-03-01,13202.006
2008-04-01,13160.788
2008-05-01,13704.098
2008-06-01,13359.533
2008-07-01,13138.288
2008-08-01,13054.138
2008-09-01,13067.915
2008-10-01,13131.123
2008-11-01,13211.827
2008-12-01,13121.721
2009-01-01,12971.02
2009-02-01,12813.805
2009-03-01,12778.19
2009-04-01,12837.219
2009-05-01,13027.964
2009-06-01,12825.058
2009-07-01,12774.081
2009-08-01,12743.854
2009-09-01,12763.787
2009-10-01,12709.966
2009-11-01,12743.645
2009-12-01,12808.646
2010-01-01,12860.097
2010-02-01,12852.303
2010-03-01,12892.933
2010-04-01,12998.264
2010-05-01,13107.196
2010-06-01,13137.355
2010-07-01,13176.118
2010-08-01,13224.463
2010-09-01,13222.624
2010-10-01,13247.875
2010-11-01,13279.581
2010-12-01,13374.156
2011-01-01,13541.211
2011-02-01,13576.031
2011-03-01,13540.028
2011-04-01,13516.405
2011-05-01,13505.003
2011-06-01,13572.943
2011-07-01,13620.414
2011-08-01,13605.561
2011-09-01,13582.785
2011-10-01,13599.436
2011-11-01,13591.318
2011-12-01,13714.357
2012-01-01,13776.131
2012-02-01,13861.174
2012-03-01,13911.509
2012-04-01,13963.525
2012-05-01,13975.696
2012-06-01,13995.038
2012-07-01,13909.126
2012-08-01,13867.317
2012-09-01,13943.929
2012-10-01,14046.984
2012-11-01,14249.192
2012-12-01,14614.152
2013-01-01,13894.743
2013-02-01,13835.102
2013-03-01,13865.456
2013-04-01,13930.178
2013-05-01,14009.753
2013-06-01,14021.223
2013-07-01,13991.979
2013-08-01,14017.134
2013-09-01,14069.86
2013-10-01,14039.392
2013-11-01,14091.431
2013-12-01,14142.583
2014-01-01,14227.901
2014-02-01,14327.934
2014-03-01,14410.122
2014-04-01,14435.669
2014-05-01,14469.48
2014-06-01,14526.881
2014-07-01,14582.163
2014-08-01,14659.681
2014-09-01,14705.696
2014-10-01,14768.285
2014-11-01,14836.107
2014-12-01,14929.612
2015-01-01,15049.764
2015-02-01,15101.981
2015-03-01,15082.389
2015-04-01,15163.008
2015-05-01,15216.371
2015-06-01,15247.398
2015-07-01,15281.247
2015-08-01,15325.493
2015-09-01,15351.868
2015-10-01,15369.145
2015-11-01,15340.379
2015-12-01,15383.523
2016-01-01,15404.046
2016-02-01,15415.085
2016-03-01,15434.894
2016-04-01,15415.333
2016-05-01,15405.827
2016-06-01,15407.904
2016-07-01,15454.576
2016-08-01,15465.277
2016-09-01,15509.469
2016-10-01,15537.585
2016-11-01,15576.214
2016-12-01,15610.328
2017-01-01,15663.029
2017-02-01,15734.509
2017-03-01,15806.397
2017-04-01,15776.153
2017-05-01,15834.178
2017-06-01,15832.181
2017-07-01,15885.911
2017-08-01,15918.081
2017-09-01,15941.89
2017-10-01,15978.509
2017-11-01,15997.387
2017-12-01,16033.336
2018-01-01,16067.685
2018-02-01,16099.22
2018-03-01,16154.764
2018-04-01,16144.705
2018-05-01,16155.012
2018-06-01,16195.352
2018-07-01,16228.384
2018-08-01,16277.424
2018-09-01,16292.562
2018-10-01,16341.822
2018-11-01,16369.553
