homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,date,consumption,income,michigan_index,tbill,cci,smp500
93,90,89,93,62,100,75,94,63,56,95,96,76,95,100,100,81,100,73,85,89,71,97,94,91,100,75,80,97,97,94,94,70,58,97,93,70,93,99,100,73,88,89,96,98,92,99,60,01jan2004,3.87673,11673.666,103.8,.88,101.2888,1131.13
91,97,94,87,63,94,83,97,60,55,95,93,74,100,96,99,80,86,82,87,97,72,89,89,90,98,80,80,97,94,92,86,74,59,84,93,70,93,95,98,73,85,90,92,100,96,99,65,01feb2004,4.4250698,11688.277,94.400002,.93000001,101.177,1144.9399
93,96,92,92,63,89,71,96,63,52,90,94,73,79,90,93,77,75,87,88,87,68,87,88,92,94,78,79,90,97,100,83,80,62,78,95,65,91,91,96,75,93,91,89,96,94,95,58,01mar2004,4.3609099,11730.978,95.800003,.94,101.0119,1126.21
97,92,99,94,72,91,76,100,63,57,85,100,75,68,88,96,78,78,94,88,96,70,83,90,97,96,82,79,94,100,97,84,84,54,76,98,67,93,92,99,82,100,100,88,98,100,100,61,01apr2004,3.81708,11777.237,94.199997,.94,100.8435,1107.3
89,93,93,94,68,84,68,92,58,55,81,91,72,66,87,87,76,76,90,91,84,68,82,89,98,78,82,76,88,92,87,82,79,47,72,94,66,89,93,93,81,90,90,83,92,90,93,59,01may2004,4.1950898,11844.274,90.199997,1.02,100.7663,1120.6801
94,99,89,95,61,86,66,87,55,53,83,86,72,61,89,87,84,80,99,84,83,68,82,98,94,75,79,73,93,91,89,81,68,48,74,97,63,88,88,94,77,86,94,91,90,89,98,58,01jun2004,3.10641,11858.492,95.599998,1.27,100.9021,1140.84
90,100,85,100,63,97,57,90,59,54,86,89,72,72,90,87,87,80,100,90,82,69,86,93,100,79,75,76,98,97,88,87,74,57,83,100,65,90,93,94,74,89,95,88,93,86,96,61,01jul2004,3.4026799,11898.458,96.699997,1.33,101.0117,1101.72
96,97,88,98,61,98,58,90,65,58,82,88,71,66,95,90,88,93,88,90,84,67,88,100,96,82,80,79,99,95,89,89,75,57,81,100,65,98,87,90,71,85,93,95,97,88,96,60,01aug2004,2.8324299,11944.486,95.900002,1.48,100.9874,1104.24
88,84,87,91,57,87,56,90,60,54,74,82,67,64,87,91,79,81,81,79,87,64,79,89,86,76,75,78,93,89,79,82,74,62,73,85,62,100,82,85,75,85,88,90,92,88,97,56,01sep2004,3.7744801,11959.694,94.199997,1.65,100.8704,1114.58
78,77,86,88,56,87,61,91,64,55,86,93,69,58,86,92,78,69,95,76,75,65,85,81,83,74,78,93,90,82,74,82,75,72,73,77,64,97,90,86,75,79,75,90,93,89,92,57,01oct2004,3.8460701,11970.427,91.699997,1.76,100.7826,1130.2
70,70,80,86,52,91,56,87,67,56,83,88,74,58,84,86,77,70,66,72,73,66,94,76,83,76,71,81,88,79,69,89,75,61,78,71,72,87,92,83,80,78,69,81,91,81,86,54,01nov2004,3.4375,11945.706,92.800003,2.0699999,100.8458,1173.8199
79,68,79,84,55,89,54,85,75,58,100,96,82,62,91,83,92,98,86,74,79,77,100,80,87,88,70,100,100,79,69,100,83,65,79,71,77,78,89,93,98,77,67,79,95,79,89,63,01dec2004,3.9868,12354.11,97.099998,2.1900001,100.9794,1211.92
88,89,84,90,61,98,56,92,63,58,89,90,75,83,86,93,86,90,75,80,78,70,81,86,90,98,70,80,97,85,83,91,73,62,94,94,67,84,92,93,77,84,84,92,96,82,97,61,01jan2005,3.39059,12029.712,95.5,2.3299999,100.9649,1181.27
88,91,85,86,60,91,63,95,62,57,85,86,78,100,84,92,81,72,74,80,83,66,74,82,83,100,74,81,93,87,87,83,78,62,84,93,70,82,90,91,76,80,80,90,98,86,96,66,01feb2005,3.6485701,12040.24,94.099998,2.54,100.8117,1203.6
