homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,income,michigan_index,tbill,cci,smp500,consumption,date
-.056818184,-.011235955,-.05952381,-.033333335,-.016393442,-.020408163,-.3392857,-.021739131,0,.034482758,-.067415729,-.06666667,-.013333334,-.14457831,-.1627907,-.07526882,.058139537,-.11111111,.026666667,-.0625,-.14102565,-.014285714,-.19753087,-.093023255,-.011111111,-.020408163,-.071428575,0,0,-.14117648,-.13253012,-.032967035,.04109589,.064516127,-.031914894,.010638298,-.044776119,-.10714286,-.076086953,-.07526882,.051948052,-.047619049,-.05952381,-.043478262,-.020833334,-.12195122,-.020618556,.016393442,.029597217,-.086910993,.62231755,-.0032080456,.042445842,3.39059,01jan2005
-.03409091,-.065934069,-.10588235,-.011627907,-.050000001,-.032967035,-.31746033,-.021052632,.032258064,.03508772,-.11764706,-.08139535,.051282052,0,-.14285715,-.076086953,.012345679,-.19444445,-.10810811,-.087499999,-.16867469,-.090909094,-.2027027,-.085365854,-.084337346,.02,-.081081077,.012345679,-.043010753,-.080459774,-.057471264,-.036144577,.051282052,.048387095,0,0,0,-.13414635,-.055555556,-.07692308,.039473683,-.0625,-.125,-.022222223,-.020408163,-.11627907,-.03125,.015151516,.029232224,-.0031881405,.63385826,-.0036235873,.048737206,3.6485701,01feb2005
-.10714286,-.10344828,.051546391,-.045454547,-.06779661,-.05952381,-.075757578,-.043478262,.045454547,.037037037,-.084337346,-.11904762,0,-.234375,-.125,-.068965517,.012820513,-.13636364,-.10126583,-.060240965,-.11538462,-.030303031,-.14473684,-.047619049,-.095238097,.040816326,.012658228,-.012820513,0,-.10227273,-.1627907,-.064102568,.024390243,.015873017,-.083333336,-.010638298,.071428575,-.15189873,-.03409091,-.054945055,0,-.12048193,-.12345679,-.05952381,-.043478262,-.11904762,.020618556,.049180329,.028944237,-.03455729,.65693432,-.0042351861,.046061713,3.2859099,01mar2005
-.11494253,-.10843374,-.11235955,-.11904762,-.05882353,-.12345679,-.15151516,-.086956523,.030769231,-.096153848,-.14864865,-.17647059,.013157895,-.21428572,-.22222222,-.11627907,-.039999999,-.23809524,.020833334,-.1,-.21518987,-.09375,-.15277778,-.1392405,-.10227273,-.12941177,-.051282052,-.053333335,-.080459774,-.14942528,-.16867469,-.12,.011764706,-.03846154,-.10144927,-.053763442,-.080645159,-.17721519,-.069767445,-.08791209,-.051282052,-.0989011,-.2345679,-.11392405,-.053763442,-.17647059,-.07526882,.031746034,.028468428,-.074116305,.66187048,-.0044133291,.042831827,3.9547,01apr2005
-.011363637,-.068965517,-.068965517,-.056179777,-.0625,-.07692308,-.030303031,-.045454547,.016949153,.017857144,-.0125,-.16666667,.039999999,-.15789473,-.17567568,-.074074075,.037974682,-.11764706,0,-.15189873,-.07692308,-.046153847,-.078947365,-.05952381,-.065217391,-.02631579,-.093333334,-.04109589,-.011494253,-.069767445,-.048192769,-.093333334,.0125,.020833334,-.043478262,0,-.047619049,-.14102565,.07,-.033333335,-.025316456,-.034482758,-.11111111,-.037500001,-.045454547,-.097560972,-.010869565,.048387095,.027485304,-.037974626,.64084506,-.0029760927,.059437599,3.2694099,01may2005
-.032967035,-.13793103,-.072289154,.010416667,-.016666668,-.11688311,-.064516127,-.035714287,.03508772,.053571429,-.077922076,-.1780822,.039999999,-.12962963,-.21917808,-.10126583,-.024390243,-.12676056,-.042105265,-.037037037,-.10666667,-.079365082,-.10810811,-.15294118,-.093023255,.025974026,-.08219178,-.057971016,-.056818184,-.045977011,.011111111,-.065789476,.081081077,0,-.13846155,-.031914894,-.032786883,-.11392405,-.047619049,-.06818182,-.05479452,-.023809524,-.16049382,-.083333336,-.071428575,-.14102565,-.053763442,.064516127,.029012553,.0041666874,.57239056,-.0018726387,.042381205,4.68292,01jun2005
0,-.086956523,0,-.052631579,-.050000001,-.14117648,-.017857144,-.097560972,.016666668,.068965517,-.088607594,-.15584415,.039999999,-.16129032,-.21621622,-.087499999,-.023529412,-.012658228,-.041666668,-.022727273,-.037974682,-.078125,-.061728396,-.068965517,-.0989011,0,.03846154,-.027027028,-.053763442,-.065934069,.022222223,-.074074075,.038961038,-.036363635,-.1369863,0,-.015625,-.11111111,-.021978023,-.032967035,-.057142857,-.072289154,-.10465116,-.023255814,-.094117649,-.1025641,-.043478262,.046875,.026543543,-.0020725077,.5869565,-.0038778989,.1073264,4.6733999,01jul2005
-.021276595,-.054347824,.083333336,-.020833334,0,-.088888891,.049180329,-.046511628,.057971016,.016949153,-.078947365,-.1,.053333335,-.11864407,-.20253165,-.084337346,.022222223,-.13414635,.022222223,.1,-.06329114,-.030769231,-.12820514,-.052631579,-.043478262,-.012345679,.13043478,.036585364,.0099999998,-.021505376,.032608695,-.05952381,.0625,.14925373,-.065789476,-.030927835,.029850746,-.07692308,0,.010989011,.053333335,-.011904762,-.08139535,0,-.089887641,-.1,-.010526316,.090909094,.024223818,-.076318793,.56976748,-.0094752572,.095130004,3.9149799,01aug2005
.083333336,-.12,.13,-.070588239,0,-.10126583,.01754386,-.046511628,-.016949153,.052631579,-.01369863,-.037974682,.056338027,-.032258064,-.17567568,.021505376,.036585364,-.125,-.0125,.091954023,-.060975611,-.049180329,-.17910448,-.047058824,-.075000003,-.055555556,.25,-.012987013,-.021978023,-.047058824,-.039473683,-.078947365,.013333334,.03125,-.028169014,-.036585364,-.016393442,-.0989011,-.025,-.036585364,-.056338027,-.0625,-.22222222,-.084337346,-.095238097,-.060240965,-.065934069,.06666667,.019936526,-.22496742,.51754385,-.015486127,.092959933,2.90731,01sep2005
.17021276,-.05479452,.065217391,0,0,-.048192769,.10294118,-.03409091,.030303031,.017857144,-.13157895,-.14814815,.079999998,-.074074075,-.19444445,-.045454547,.025,-.078125,-.043956045,-.070422538,.085365854,-.031746034,-.13333334,-.094594598,-.012195121,.013333334,.071428575,-.010869565,-.022727273,-.064935066,.013333334,-.051282052,.025974026,.064935066,-.013888889,.049382716,.044776119,-.11494253,-.046511628,-.023809524,0,.0125,-.086956523,0,-.094117649,-.072289154,.010752688,.095238097,.026259867,-.23584907,.52560645,-.016952436,.063636586,3.00475,01oct2005
